"L&S","","","","","","","","","","","","","","","","","","","","","","",""
"ITALIAN (FRENCH AND ITALIAN) Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","","","","","",""
"ITALIAN
Dept. Total
508","200","3.759","71.5","14.5","4.0","1.5","4.0","",".","0.5","4.0","",".",".","",".","",".","",".",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","15","3.633","73.3","20.0",".",".",".","",".","6.7",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","53","3.676","67.9","17.0","3.8","5.7","5.7","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","53","3.849","79.2","15.1","1.9",".","3.8","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","45","3.847","77.8","15.6","2.2",".","2.2","",".",".","2.2","",".",".","",".","",".","",".",".",".","."
"Undergraduates","166","3.772","74.7","16.3","2.4","1.8","3.6","",".","0.6","0.6","",".",".","",".","",".","",".",".",".","."
"Special","1","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","33","3.750","57.6","6.1","12.1",".","3.0","",".",".","21.2","",".",".","",".","",".","",".",".",".","."
"Dept. Total","200","3.759","71.5","14.5","4.0","1.5","4.0","",".","0.5","4.0","",".",".","",".","",".","",".",".",".","."
