"FOLKLORE PROGRAM","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"380
FOLKLORE","","","","","","","","","","","","","","","","","","","",""
"Introduction to Folklore","100
001","","194","3.710","75.8","9.8","4.6","0.5","1.0","1.0","3.1",".",".",".",".",".","1.0","2.1","1.0","."
"Intro US Ethnic/Am Ind Studies","102
001","","67","3.836","77.6","17.9","3.0",".",".","1.5",".",".",".",".",".",".",".",".",".","."
"Intro-Mus Cult of the World","103
001","","61","3.590","77.0","1.6","8.2","1.6","8.2",".","3.3",".",".",".",".",".",".",".",".","."
"","210
001","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
002","","11","3.636","63.6","18.2","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","210
003","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
004","","16","3.750","75.0","12.5","6.3",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","210
005","","10","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
006","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
007","","13","3.769","69.2","15.4","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
008","","11","3.455","63.6","18.2","9.1",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"The African Storyteller","Course Total","","87","3.747","73.6","13.8","9.2",".","2.3",".","1.1",".",".",".",".",".",".",".",".","."
"Horror Express of Natl Angst","225
001","","25","3.800","80.0","8.0","8.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"Afro Asian Improv","319
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Folklore of Wisconsin","320
001","","32","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","3.1","9.4",".","."
"Vampires","327
001","","127","3.433","54.3","23.6","10.2","3.1","2.4",".","6.3",".",".",".",".",".",".",".",".","."
"The Nordic Storyteller","345
001","","20","3.618","45.0","30.0",".","5.0","5.0",".",".","10.0",".",".",".",".",".","5.0",".","."
"","430
001","","25","3.500","64.0","16.0","4.0","4.0","8.0",".","4.0",".",".",".",".",".",".",".",".","."
"","430
002","","7","3.643","57.1","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Topics American Folklore","Course Total","","32","3.531","62.5","18.8","3.1","6.3","6.3",".","3.1",".",".",".",".",".",".",".",".","."
"Foodways","439
001","","30","4.000","96.7",".",".",".",".",".",".",".",".",".",".",".","3.3",".",".","."
"Folk Epics","460
001","","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Independ Stdy-Folklore Grad","699
009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
