"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","",""
"VET","","","","","","","","","","","","","","","","","","","","","",""
"VET","College Total","4102","3.689","44.7","6.6","6.7","0.9","1.2","0.1","",".","39.4","",".",".","",".","0.3","0.1",".",".","."
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"VET","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"Sophomore","","5","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Junior","","15","3.955","93.3","6.7",".",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior","","22","4.000","95.5",".",".",".",".",".","",".","4.5","",".",".","",".",".",".",".",".","."
"Undergraduates","","42","3.972","92.9","4.8",".",".",".",".","",".","2.4","",".",".","",".",".",".",".",".","."
"Special","","20","",".",".",".",".",".",".","",".","100.0","",".",".","",".",".",".",".",".","."
"Graduate","","74","3.950","33.8",".","2.7",".",".",".","",".","48.6","",".",".","",".","14.9",".",".",".","."
"Prof Yr 1","","890","3.601","37.5","9.4","11.9","1.7","2.0","0.2","",".","37.0","",".",".","",".",".","0.2",".",".","."
"Prof Yr 2","","891","3.707","55.2","11.7","6.4","1.1","1.0","0.1","",".","24.1","",".",".","",".",".","0.3",".",".","."
"Prof Yr 3","","1270","3.599","44.8","6.3","8.7","1.0","1.7",".","",".","37.5","",".",".","",".",".",".",".",".","."
"Prof Yr 4","","915","4.000","41.0",".",".",".",".",".","",".","59.0","",".",".","",".",".",".",".",".","."
"Professionals","","3966","3.683","44.6","6.8","6.9","1.0","1.2","0.1","",".","39.3","",".",".","",".",".","0.1",".",".","."
"","College Total","4102","3.689","44.7","6.6","6.7","0.9","1.2","0.1","",".","39.4","",".",".","",".","0.3","0.1",".",".","."
