"COUNSELING PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","",""
"","101
001","8","3.188","25.0","12.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","101
002","6","2.500","33.3","33.3",".",".",".",".","33.3",".",".",".",".",".",".",".",".","."
"","101
003","8","2.375","25.0",".","25.0","25.0",".",".","25.0",".",".",".",".",".",".",".",".","."
"Academic Enhancement Seminar","Course Total","22","2.705","27.3","13.6","22.7","18.2",".",".","18.2",".",".",".",".",".",".",".",".","."
"","105
002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","105
004","11","3.591","72.7","9.1","9.1",".",".","9.1",".",".",".",".",".",".",".",".",".","."
"Human Dev; Awareness Proc","Course Total","23","3.804","87.0","4.3","4.3",".",".","4.3",".",".",".",".",".",".",".",".",".","."
"Human Dev:Career Strategies","110
001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
011","25","3.560","76.0",".","12.0",".","8.0",".","4.0",".",".",".",".",".",".",".",".","."
"","115
012","28","3.714","82.1","3.6","7.1","3.6",".",".","3.6",".",".",".",".",".",".",".",".","."
"","115
013","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
014","18","3.556","61.1","5.6","22.2","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","115
021","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
022","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
023","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
024","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
031","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
032","11","3.773","81.8",".","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","115
033","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
034","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
041","18","3.444","72.2","5.6","5.6","5.6",".","5.6","5.6",".",".",".",".",".",".",".",".","."
"","115
042","20","3.600","70.0","20.0",".",".","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"","115
043","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
044","15","3.700","80.0","6.7","6.7",".",".","6.7",".",".",".",".",".",".",".",".",".","."
"","115
045","18","3.556","72.2","5.6","11.1","5.6",".",".","5.6",".",".",".",".",".",".",".",".","."
"","115
046","21","3.881","85.7","4.8","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Dev: Ed Effectiveness","Course Total","277","3.762","83.0","4.7","6.5","1.8","1.4","0.7","1.8",".",".",".",".",".",".",".",".","."
"Art/Sci of Human Flourishing","120
001","13","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
002","19","3.789","94.7",".",".",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"","125
003","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
004","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
005","13","3.692","76.9","7.7",".","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"Wisconsin Experience Seminar","Course Total","58","3.836","87.9","6.9",".","1.7","1.7",".","1.7",".",".",".",".",".",".",".",".","."
"Intersectionalities","225
001","219","3.844","85.4","6.4","4.1","0.9","1.4","1.4",".",".",".",".",".",".",".","0.5",".","."
"Mental Hlth &Diverse Community","237
001","183","3.907","94.5","2.2","1.1",".","0.5","0.5","1.1",".",".",".",".",".",".",".",".","."
"Topics: Couns./Couns. Psych","300
020","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Latin@ Mental Health","525
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Mental Hlth: Prevent & Interv","531
001","94","3.936","96.8","1.1",".","1.1",".",".","1.1",".",".",".",".",".",".",".",".","."
"Latinx Foundational Practicum","575
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Latinx Advanced Practicum","580
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
