"BIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"205
BIOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","193","2.736","27.5","13.5","15.0","9.3","18.1","11.9","4.7",".",".",".",".",".",".",".",".","."
"","101
002","175","2.554","16.0","12.6","24.0","9.1","19.4","13.7","5.1",".",".",".",".",".",".",".",".","."
"Animal Biology","Course Total","368","2.649","22.0","13.0","19.3","9.2","18.8","12.8","4.9",".",".",".",".",".",".",".",".","."
"","102
001","12","3.042","16.7","25.0","25.0","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"","102
002","14","3.464","57.1","7.1","21.4",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","102
003","18","2.917","22.2","22.2","11.1","16.7","22.2","5.6",".",".",".",".",".",".",".",".",".","."
"","102
004","12","2.958","8.3","33.3","25.0","8.3","25.0",".",".",".",".",".",".",".",".",".",".","."
"","102
005","15","3.033","33.3",".","26.7","20.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"","102
006","15","2.900","20.0","20.0","20.0","13.3","20.0","6.7",".",".",".",".",".",".",".",".",".","."
"","102
007","9","3.389","33.3","44.4",".","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","102
008","14","2.821","21.4","14.3","28.6","7.1","21.4",".","7.1",".",".",".",".",".",".",".",".","."
"","102
009","14","3.071","21.4","14.3","42.9",".","21.4",".",".",".",".",".",".",".",".",".",".","."
"","102
010","13","3.154","23.1","7.7","53.8","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","102
011","12","3.083","25.0","16.7","16.7","33.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"","102
013","16","3.031","18.8","25.0","37.5","6.3","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"","102
014","12","3.083","33.3","8.3","25.0","8.3","25.0",".",".",".",".",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","176","3.060","25.6","17.6","26.1","11.4","17.0","1.1","1.1",".",".",".",".",".",".",".",".","."
"General Botany","130
001","36","2.875","33.3","8.3","22.2","5.6","16.7","11.1","2.8",".",".",".",".",".",".",".",".","."
"Introductory Biology","151
001","337","3.015","27.9","12.2","32.0","6.2","14.5","5.6","1.2",".",".",".",".",".","0.3",".",".","."
"","152
001","355","3.438","50.1","11.0","25.6","6.2","5.6","1.1","0.3",".",".",".",".",".",".",".",".","."
"","152
002","430","3.347","43.5","11.4","31.4","4.9","6.0","2.3","0.5",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","785","3.388","46.5","11.2","28.8","5.5","5.9","1.8","0.4",".",".",".",".",".",".",".",".","."
"Communicating Evolutionary Bio","522
001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","682
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Studies","Course Total","2","***","","","","","","","","","","","","","","","",""
