"MATHEMATICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"","698","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","120","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","167","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","172","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","174","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","176","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","180","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","183","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","268","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","276","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","699","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","268","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Methods of Applied Math-2","704","001","","28","3.946","92.9","3.6","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods of Computatnl Math II","715","001","","28","3.643","85.7",".","7.1",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"Ordinary Differntl Equatns","716","001","","19","3.972","89.5","5.3",".",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"Stochastic Computation Methods","717","001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Partial Differential Equations","720","001","","13","3.615","84.6",".","7.7",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"Complex Analysis","722","001","","16","3.531","62.5","6.3","18.8",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Secnd Crse in Real Analysis","725","001","","18","3.472","33.3","27.8","38.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nonlinear Optimization I","726","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Integer Optimization","728","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Theory of Probability II","734","001","","28","3.964","96.4",".","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Abstract Algebra","742","001","","54","3.602","50.0","27.8","16.7","3.7","1.9",".",".",".",".",".",".",".",".",".",".","."
"Homological Algebra","750","001","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Topology II","752","001","","16","3.625","68.8","6.3","12.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Ergodic Theory","758","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Differential Geometry","765","001","","12","3.625","33.3","58.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Set Theory","771","001","","12","3.909","75.0","16.7",".",".",".",".",".",".",".",".",".",".",".","8.3",".","."
"Computability Theory","773","001","","7","3.750","42.9","42.9",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","790","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Masters Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Adv Topic-Funct Analys&Diff Eq","826","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Topics - Harmonic Analysis","828","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Probability","833","001","","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 27, 2025","","","","","","","","","","","","","","","","","","","","Page 304 of 486",""
