"HUMAN DEVEL & FAMILY STUDI Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","","",""
"Cultural Diversity of Families","174","001","75","3.458","68.0","6.7","6.7","1.3","5.3","2.7","5.3",".",".",".",".",".",".",".","4.0","."
"HDFS Leadership Symposium","253","001","79","3.722","78.5","5.1","8.9","2.5","3.8",".","1.3",".",".",".",".",".",".",".",".","."
"Development of Young Child","262","001","249","3.832","82.7","7.2","5.6","0.4","2.8","0.4",".",".",".",".",".",".","0.8",".",".","."
"Develp: Adolescence-Old Age","263","001","248","3.748","77.4","9.3","7.3","2.4","1.6","1.6","0.4",".",".",".",".",".",".",".",".","."
"Ecology Child Hlth & Well-Bng","345","001","59","3.831","89.8","3.4","3.4",".",".","1.7","1.7",".",".",".",".",".",".",".",".","."
"Rsch Meth in Hum Devel&Fam St","425","001","39","3.949","89.7","10.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Infant/ToddlerDev&GroupCare","462","001","35","3.843","91.4","2.9",".",".","2.9","2.9",".",".",".",".",".",".",".",".",".","."
"","465","001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","465","002","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Families & Poverty","","Course Total","21","3.857","76.2","19.0","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","469","001","31","3.613","64.5","12.9","16.1",".","3.2","3.2",".",".",".",".",".",".",".",".",".","."
"","469","002","36","3.736","86.1","8.3",".",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"Family&Com Influences-Child","","Course Total","67","3.679","76.1","10.4","7.5",".","1.5","1.5","3.0",".",".",".",".",".",".",".",".","."
"","474","001","38","3.632","73.7","10.5","7.9",".","2.6","2.6","2.6",".",".",".",".",".",".",".",".","."
"","474","002","40","3.850","80.0","12.5","5.0","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"Racial Ethnic Families in U.S.","","Course Total","78","3.744","76.9","11.5","6.4","1.3","1.3","1.3","1.3",".",".",".",".",".",".",".",".","."
"Special Topics","501","001","24","3.886","75.0","12.5","4.2",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Family Stress and Resilience","516","001","18","3.083","33.3","16.7","27.8","11.1",".","5.6","5.6",".",".",".",".",".",".",".",".","."
"Couple Relationships","517","001","59","3.712","76.3","11.9","1.7","5.1","3.4",".","1.7",".",".",".",".",".",".",".",".","."
"Family Perspctv-Policymakng","535","001","15","3.400","73.3","13.3",".",".",".",".","13.3",".",".",".",".",".",".",".",".","."
"Research Experience in HDFS","592","001","21","3.943","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internship","601","001","45","3.922","95.6","2.2",".",".",".","2.2",".",".",".",".",".",".",".",".",".","."
"","616","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","616","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Mass Media and Youth","","Course Total","5","***","","","","","","","","","","","","","","","",""
"","650","001","22","3.909","86.4","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","650","002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Parent Educ & Support Programs","","Course Total","31","3.935","90.3","6.5","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Developmental & Fam Assessment","663","001","23","3.977","91.3","4.3",".",".",".",".",".",".",".",".",".",".",".","4.3",".","."
"Prosmr:Human Dev & Fam Studies","664","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","699","016","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Current Topics in HDFS","766","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family Theory I (Survey)","865","001","7","3.750","42.9","42.9",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Adv Smr-Famly Stress&Coping","869","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","035","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","039","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","040","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 27, 2025","","","","","","","","","","","","","","","","","","","Page 163 of 486",""
