"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","",""
"Intro to American Law","601
001","8","0.500","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Sources","602
001","8","0.500","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","715
001","47","1.043","8.5",".","23.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","715
002","52","1.308","9.6",".","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","715
003","53","1.245","15.1",".","18.9",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"","715
004","55","1.073","16.4",".","12.7",".","1.8",".","1.8",".",".",".",".",".",".",".",".","."
"","715
005","43","1.140","11.6",".","20.9",".","2.3",".",".",".",".",".",".",".",".",".",".","."
"Torts","Course Total","250","1.164","12.4",".","21.2",".","1.6",".","0.4",".",".",".",".",".",".",".",".","."
"","723
001","17","0.941","5.9",".","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
002","18","1.333","16.7",".","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
003","18","1.056","5.6",".","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
004","18","0.833",".",".","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
005","18","0.778","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
006","18","0.278",".",".","5.6",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","723
007","17","0.412","5.9",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
008","18","1.444","11.1",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
009","18","0.667",".",".","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
010","17","0.765","5.9",".","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
011","18","0.833","5.6",".","16.7",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","723
012","18","2.222","44.4",".","11.1",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","723
013","18","1.000",".",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legl Analysis, Advocacy &WtgII","Course Total","231","0.970","8.7",".","19.9",".","1.3",".",".",".",".",".",".",".",".",".",".","."
"","724
001","77","1.429","24.7",".","13.0",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"","724
002","81","0.778","7.4",".","16.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","724
003","75","1.320","14.7",".","22.7",".","2.7",".",".",".",".",".",".",".",".",".",".","."
"Property","Course Total","233","1.167","15.5",".","17.2",".","1.7",".",".",".",".",".",".",".",".",".",".","."
"Intro to Criminal Procedure","725
001","39","1.162","12.8",".","17.9",".","2.6",".",".","5.1",".",".",".",".",".",".",".","."
"Federal Law & Indian Tribes","730
001","19","1.765","21.1",".","21.1",".","5.3",".",".","10.5",".",".",".",".",".",".",".","."
"","731
001","81","0.901","12.3",".","8.6",".","7.4",".",".",".",".",".",".",".",".",".",".","."
"","731
002","83","1.235","18.1","1.2","15.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","731
003","80","1.100","5.0",".","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Constitutional Law","Course Total","244","1.080","11.9","0.4","18.0",".","2.5",".",".",".",".",".",".",".",".",".",".","."
"","734
001","51","1.089","15.7",".","9.8",".","2.0",".",".","11.8",".",".",".",".",".",".",".","."
"","734
002","49","0.651","8.2",".","8.2",".",".",".",".","12.2",".",".",".",".",".",".",".","."
"Trusts and Estates","Course Total","100","0.875","12.0",".","9.0",".","1.0",".",".","12.0",".",".",".",".",".",".",".","."
"Estate and Gift Taxation","738
001","7","1.000","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bus Org: Public Corporations","741
001","38","1.139","13.2",".","18.4",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"Taxation I","742
001","67","1.967","26.9",".","23.9",".",".",".",".","9.0",".",".",".",".",".",".",".","."
"","743
001","12","",".",".",".",".",".",".",".","83.3",".",".",".",".",".",".",".","16.7"
"","743
002","12","",".",".",".",".",".",".",".","91.7",".",".",".",".",".",".",".","8.3"
"","743
003","15","",".",".",".",".",".",".",".","93.3",".",".",".",".",".",".",".","6.7"
