"","203
001","","19","4.000","94.7",".",".",".",".","",".","",".",".",".","",".",".","",".","","5.3",".",".","."
"","203
002","","11","2.955","9.1","18.2","36.4","27.3","9.1","",".","",".",".",".","",".",".","",".","",".",".",".","."
"Intro Cross-Cultrl Lit Form","Course Total","","30","3.603","63.3","6.7","13.3","10.0","3.3","",".","",".",".","",".",".","",".","",".","3.3",".",".","."
"Comp Prob in Periods & Movemnt","370
002","","10","4.000","60.0",".",".",".",".","",".","",".","40.0",".","",".",".","",".","",".",".",".","."
"COMP LIT
260","Dept. Total","","40","3.671","62.5","5.0","10.0","7.5","2.5","",".","",".","10.0","",".",".","",".","",".","2.5",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"260
COMP LIT","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","3","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Sophomore","","","7","2.929","14.3","14.3","28.6","28.6","14.3","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","","9","3.938","77.8","11.1",".",".",".","",".","",".",".","",".",".","",".","",".","11.1",".",".","."
"Senior","","","17","3.853","88.2",".","5.9","5.9",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","","36","3.671","69.4","5.6","11.1","8.3","2.8","",".","",".",".","",".",".","",".","",".","2.8",".",".","."
"Special","","","4","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"","Dept. Total","","40","3.671","62.5","5.0","10.0","7.5","2.5","",".","",".","10.0","",".",".","",".","",".","2.5",".",".","."
