"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"R M I","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","5","***","","","","","","","","","","",".","",".",".","",".",".",".","."
"Sophomore","","44","3.333","43.2","13.6","29.5","4.5","6.8","2.3",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","122","3.284","36.9","17.2","30.3","6.6","7.4","0.8","0.8",".","",".",".","",".",".","",".",".",".","."
"Senior","","207","3.442","40.6","24.2","23.2","5.8","5.3",".",".","1.0","",".",".","",".",".","",".",".",".","."
"Undergraduates","","378","3.378","39.7","20.9","25.9","5.8","6.3","0.5","0.3","0.5","",".",".","",".",".","",".",".",".","."
"Special","","1","***","","","","","","","","","","",".","",".",".","",".",".",".","."
"Graduate","","104","3.622","52.9","22.1","11.5","4.8","2.9",".",".","4.8","",".",".","",".","1.0","",".",".",".","."
"","Dept. Total","483","3.429","42.4","21.1","23.0","5.6","5.6","0.4","0.2","1.4","",".",".","",".","0.2","",".",".",".","."
