"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"PHM PRAC","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","1","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Senior","6","3.917","83.3","16.7",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","7","3.929","85.7","14.3",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","1","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","25","3.949","92.0","8.0",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","283","3.945","90.5","5.7","0.7","1.1",".",".",".","",".","",".","2.1","",".","",".","",".",".",".","."
"Prof Yr 2","386","3.555","63.7","17.1","12.4","5.2","1.3",".","0.3","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","502","3.640","73.7","13.3","5.6","5.4","2.0",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","356","3.936","92.4","4.2","2.5","0.6",".","0.3",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","1527","3.801","78.7","10.7","5.7","3.4","1.0","0.1","0.1","",".","",".","0.4","",".","",".","",".",".",".","."
