"","990
045","4","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
047","3","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Research and Thesis","Course Total","21","",".",".",".",".",".",".",".","76.2","",".",".","",".","23.8",".",".",".","."
"Independent Study","999
048","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"HDFS
230","Dept. Total","1239","3.767","78.7","8.2","5.3","1.4","1.9","1.0","1.1","1.3","",".",".","",".","0.4","0.4","0.1","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","66","3.392","59.1","10.6","9.1","9.1","6.1","6.1",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","201","3.789","80.6","6.0","8.5","0.5","2.5","0.5","0.5",".","",".",".","",".",".","1.0",".",".","."
"Junior","","351","3.675","74.1","12.5","6.6","0.9","1.1","1.4","2.8",".","",".",".","",".",".","0.3","0.3",".","."
"Senior","","567","3.859","86.4","6.2","3.5","1.2","1.8","0.5","0.2",".","",".",".","",".",".","0.2",".",".","."
"Undergraduates","","1185","3.770","80.3","8.3","5.6","1.4","1.9","1.1","1.0",".","",".",".","",".",".","0.3","0.1",".","."
"Special","","6","2.286","33.3",".",".",".",".",".","16.7",".","",".",".","",".",".",".",".","50.0","."
"Graduate","","47","3.757","44.7","6.4",".",".",".",".","2.1","34.0","",".",".","",".","10.6","2.1",".",".","."
"Prof Yr 4","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","1239","3.767","78.7","8.2","5.3","1.4","1.9","1.0","1.1","1.3","",".",".","",".","0.4","0.4","0.1","0.2","."
