"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","",""
"The Musical Experience","101
001","120","3.553","61.7","14.2","10.8","2.5","0.8","0.8","4.2","5.0",".",".",".",".",".",".",".","."
"Jazz in 20th-Century America","102
001","327","3.719","77.1","9.5","4.6","2.1","1.5","0.3","2.8",".",".",".",".",".",".",".","2.1","."
"Intro-Mus Cult of the World","103
001","107","3.433","69.2","1.9","7.5","1.9","8.4","6.5","1.9",".",".",".",".",".",".",".","2.8","."
"","113
001","664","3.742","81.0","6.8","2.4","3.5","0.9","1.4","2.1","0.2",".",".",".",".",".","1.5","0.3","."
"","113
002","666","3.936","93.2","2.9","1.4","1.1","0.5","0.2","0.2",".",".",".",".",".",".",".","0.8","."
"","113
003","638","3.845","91.5",".","4.5","0.2","1.6","0.6","1.4",".",".",".",".",".",".","0.2",".","."
"Music in Performance","Course Total","1968","3.842","88.6","3.3","2.7","1.6","1.0","0.7","1.2","0.1",".",".",".",".",".","0.6","0.4","."
"","122
001","31","3.516","48.4","29.0","12.9","3.2","3.2","3.2",".",".",".",".",".",".",".",".",".","."
"","122
002","51","3.627","56.9","25.5","5.9","9.8","2.0",".",".",".",".",".",".",".",".",".",".","."
"Musica Practica 2","Course Total","82","3.585","53.7","26.8","8.5","7.3","2.4","1.2",".",".",".",".",".",".",".",".",".","."
"","151
001","34","3.809","82.4","14.7",".",".",".",".","2.9",".",".",".",".",".",".",".",".","."
"","151
002","61","3.411","49.2","14.8","9.8","8.2","4.9","4.9",".","1.6",".",".",".",".",".",".","6.6","."
"Basic Concepts-Music Theory","Course Total","95","3.561","61.1","14.7","6.3","5.3","3.2","3.2","1.1","1.1",".",".",".",".",".",".","4.2","."
"","172
101","17","3.765","58.8","35.3","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","172
102","14","3.607","71.4","14.3",".","7.1",".","7.1",".",".",".",".",".",".",".",".",".","."
"","172
103","16","3.633","68.8","6.3","6.3",".","12.5",".",".",".",".",".",".",".","6.3",".",".","."
"","172
104","17","3.853","82.4","5.9","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","172
105","18","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 2","Course Total","82","3.728","69.5","15.9","8.5","1.2","2.4","1.2",".",".",".",".",".",".","1.2",".",".","."
"Survey-Hist Western Music","212
001","61","3.767","73.8","11.5","4.9",".","3.3","1.6",".","4.9",".",".",".",".",".",".",".","."
"Musica Practica 4","222
001","19","3.842","84.2",".","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Jazz Theory & Composition","229
001","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interplay betw Music, Art, Soc","240
001","38","3.776","76.3","13.2","7.9",".",".","2.6",".",".",".",".",".",".",".",".",".","."
"Intro. Conducting and Pedagogy","252
001","9","3.778","77.8",".","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","254
028","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","254
043","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Conducting","Course Total","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"University Opera","256
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Opera Workshop","257
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","260
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","260
002","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Hand Drumming Ensemble","Course Total","25","3.960","96.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
050","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
064","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
066","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
090","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
096","17","4.000","94.1",".",".",".",".",".",".",".",".",".",".",".",".","5.9",".","."
"","262
101","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
150","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
196","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Jazz Ensemble","Course Total","42","4.000","97.6",".",".",".",".",".",".",".",".",".",".",".",".","2.4",".","."
