"INTERDIS COURSES (SOHE)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"498
INTER-HE","","","","","","","","","","","","","","","","","","","","","",""
"Ecology of Human Happiness","201
001","108","3.379","33.3","27.8","27.8","6.5","1.9","0.9","0.9",".",".","",".",".","",".","",".","0.9",".","."
"","202
001","381","3.457","51.2","15.5","21.3","3.4","5.8","2.9",".",".",".","",".",".","",".","",".",".",".","."
"","202
101","3","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"SoHE Career & Leadership Dev","Course Total","384","3.460","51.3","15.6","21.1","3.4","5.7","2.9",".",".","",".",".","",".","",".",".",".",".","."
"Human Ecology Special Topics","301
001","25","3.540","72.0",".","16.0","4.0","4.0",".","4.0",".",".","",".",".","",".","",".",".",".","."
"","815
001","10","3.850","90.0",".",".","10.0",".",".",".",".",".","",".",".","",".","",".",".",".","."
"","815
002","9","3.889","88.9",".","11.1",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"","815
003","7","3.643","71.4",".","14.3","14.3",".",".",".",".",".","",".",".","",".","",".",".",".","."
"Prof Skills for Comm Leaders","Course Total","26","3.808","84.6",".","7.7","7.7",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Capstone Seminar","980
001","10","",".",".",".",".",".",".",".","90.0",".","",".",".","",".","","10.0",".",".","."
"INTER-HE
498","Dept. Total","553","3.446","49.4","16.3","21.2","4.2","4.5","2.2","0.4","1.6","",".",".","",".","",".","0.2","0.2",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"498
INTER-HE","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","28","3.243","21.4","28.6","35.7","7.1","7.1",".",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","132","3.444","43.9","22.0","25.0","3.8","3.0","1.5","0.8",".","",".",".","",".","",".",".",".",".","."
"Junior","","234","3.474","56.0","13.7","20.1","3.0","4.3","2.6","0.4",".","",".",".","",".","",".",".",".",".","."
"Senior","","122","3.423","45.9","17.2","20.5","5.7","7.4","3.3",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","516","3.434","48.6","17.4","22.3","4.1","4.8","2.3","0.4",".","",".",".","",".","",".",".",".",".","."
"Special","","2","***","","","","","","","","","","",".","",".","",".",".","50.0",".","."
"Graduate","","34","3.792","58.8",".","5.9","5.9",".",".",".","26.5","",".",".","",".","",".","2.9",".",".","."
"Prof Yr 3","","1","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Professionals","","1","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"","Dept. Total","553","3.446","49.4","16.3","21.2","4.2","4.5","2.2","0.4","1.6","",".",".","",".","",".","0.2","0.2",".","."
