"LIBRARY & INFORMATION STUD Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","",""
"Introduction to Computing","102
001","80","3.869","87.5","3.8","6.3",".","2.5",".",".",".",".",".",".",".",".",".",".","."
"The Information Society","201
001","126","3.623","67.5","19.0","3.2","2.4","4.8","0.8","2.4",".",".",".",".",".",".",".",".","."
"Divides&Differences-Multicultr","202
001","252","3.843","87.7","5.2","3.2","1.6","0.4","1.2","0.8",".",".",".",".",".",".",".",".","."
"Digital: Privacy & Technology","220
001","44","3.784","61.4","34.1","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"History and Future of Books","350
001","24","3.696","62.5","16.7","12.5",".","4.2",".",".",".",".",".",".",".",".",".","4.2","."
"","351
001","146","3.651","70.5","16.4","2.7","1.4","6.2","1.4","1.4",".",".",".",".",".",".",".",".","."
"","351
002","10","3.833","80.0",".",".","10.0",".",".",".",".",".",".",".",".","10.0",".",".","."
"Intro to Digital Information","Course Total","156","3.661","71.2","15.4","2.6","1.9","5.8","1.3","1.3",".",".",".",".",".","0.6",".",".","."
"","399
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading & Research","Course Total","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","407
001","87","3.651","62.1","18.4","12.6","2.3","1.1","2.3",".",".",".",".",".",".","1.1",".",".","."
"","407
002","42","3.607","73.8","9.5","4.8","2.4","2.4","7.1",".",".",".",".",".",".",".",".",".","."
"Data Storytelling","Course Total","129","3.637","65.9","15.5","10.1","2.3","1.6","3.9",".",".",".",".",".",".","0.8",".",".","."
"Concepts of Data & Info Scienc","440
001","102","3.809","86.3","4.9","3.9","2.0","1.0",".","2.0",".",".",".",".",".",".",".",".","."
"","461
001","85","3.935","92.9","2.4","3.5","1.2",".",".",".",".",".",".",".",".",".",".",".","."
"","461
002","213","3.885","82.2","16.0","0.9","0.5",".",".","0.5",".",".",".",".",".",".",".",".","."
"","461
003","70","3.914","87.1","8.6","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","461
004","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","461
005","47","3.904","83.0","14.9","2.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Data Ethics and Policy","Course Total","422","3.905","85.3","11.8","2.1","0.5",".",".","0.2",".",".",".",".",".",".",".",".","."
"Applied Database Design","464
001","85","3.788","75.3","14.1","7.1","2.4",".","1.2",".",".",".",".",".",".",".",".",".","."
"Interaction Design Studio","470
001","64","3.734","75.0","10.9","6.3","4.7","1.6","1.6",".",".",".",".",".",".",".",".",".","."
"Intro to Web Development","472
001","24","3.354","25.0","33.3","33.3","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"","500
002","12","3.833","83.3","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","500
004","28","3.232","39.3","14.3","25.0","10.7","3.6","7.1",".",".",".",".",".",".",".",".",".","."
"Code and Power","Course Total","40","3.413","52.5","12.5","17.5","10.0","2.5","5.0",".",".",".",".",".",".",".",".",".","."
"","501
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","501
003","12","3.417","66.7","8.3",".","8.3","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"","501
004","15","2.467","26.7","6.7","13.3","20.0",".","26.7","6.7",".",".",".",".",".",".",".",".","."
"Introduction to Text Mining","Course Total","29","2.948","44.8","10.3","6.9","13.8","3.4","17.2","3.4",".",".",".",".",".",".",".",".","."
"","510
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","510
003","72","3.829","81.9","5.6","4.2","2.8","2.8",".",".","1.4",".",".",".",".",".",".","1.4","."
"","510
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","510
005","72","3.625","76.4","8.3","5.6","2.8",".","4.2","2.8",".",".",".",".",".",".",".",".","."
"Human Factors in Infosec","Course Total","147","3.731","79.6","6.8","4.8","2.7","1.4","2.0","1.4","0.7",".",".",".",".",".",".","0.7","."
"","517
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","517
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","517
005","11","2.600","18.2","18.2",".","18.2","18.2","18.2",".","9.1",".",".",".",".",".",".",".","."
"July 27, 2025","","","","","","","","","","","","","","","","","","Page 293 of 486",""
