"Leadng People, Effctve Comm II","302
001","19","3.895","89.5","5.3","",".","5.3","",".","",".","",".",".",".","",".",".","",".","","",".",".",".","."
"Leadrshp & Commissioning Prep","402
001","9","3.889","77.8","22.2","",".",".","",".","",".","",".",".",".","",".",".","",".","","",".",".",".","."
"Leadership Laboratory II","502
001","59","",".",".","",".",".","",".","",".","",".","100.0",".","",".",".","",".","","",".",".",".","."
"A F AERO
102","Dept. Total","120","3.923","47.5","2.5","",".","0.8","",".","",".","",".","49.2","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"102
A F AERO","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","","20","4.000","50.0",".","",".",".","",".","",".","",".","50.0","",".",".","",".","",".","",".",".",".","."
"Junior","","30","4.000","50.0",".","",".",".","",".","",".","",".","50.0","",".",".","",".","",".","",".",".",".","."
"Senior","","54","3.957","48.1","3.7","",".",".","",".","",".","",".","48.1","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","106","3.971","49.1","1.9","",".",".","",".","",".","",".","49.1","",".",".","",".","",".","",".",".",".","."
"Special","","14","3.538","35.7","7.1","",".","7.1","",".","",".","",".","50.0","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","120","3.923","47.5","2.5","",".","0.8","",".","",".","",".","49.2","",".",".","",".","",".","",".",".",".","."
