"CONSUMER SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","",""
"","555
002","13","3.615","69.2","15.4","7.7",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"","555
003","59","3.661","50.8","33.9","11.9","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"","555
004","69","3.630","44.9","43.5","8.7","1.4",".","1.4",".",".",".",".",".",".",".",".",".","."
"","555
104","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Consumer Strategy & Evaluation","Course Total","179","3.620","50.8","33.0","10.6","3.9",".","1.7",".",".",".",".",".",".",".",".",".","."
"Consumer Engagement Strategies","561
001","55","3.891","87.3","9.1",".","1.8","1.8",".",".",".",".",".",".",".",".",".",".","."
"","562
001","56","3.536","37.5","39.3","17.9","3.6","1.8",".",".",".",".",".",".",".",".",".",".","."
"","562
002","15","3.533","33.3","40.0","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Global Consumer","Course Total","71","3.535","36.6","39.4","19.7","2.8","1.4",".",".",".",".",".",".",".",".",".",".","."
"","564
001","56","3.134","23.2","28.6","23.2","8.9","12.5","3.6",".",".",".",".",".",".",".",".",".","."
"","564
002","57","2.623","10.5","17.5","15.8","12.3","36.8","7.0",".",".",".",".",".",".",".",".",".","."
"","564
003","45","2.644","11.1","17.8","15.6","22.2","22.2","11.1",".",".",".",".",".",".",".",".",".","."
"Retail Financial Analysis","Course Total","158","2.810","15.2","21.5","18.4","13.9","24.1","7.0",".",".",".",".",".",".",".",".",".","."
"","567
001","25","3.720","60.0","32.0","4.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"","567
002","65","3.815","75.4","15.4","6.2","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"Product Development Strategies","Course Total","90","3.789","71.1","20.0","5.6","2.2","1.1",".",".",".",".",".",".",".",".",".",".","."
"Consumer Policy","579
002","18","3.722","61.1","22.2","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Science Internship","601
001","27","3.722","74.1","11.1","3.7","7.4","3.7",".",".",".",".",".",".",".",".",".",".","."
"Retailing Internship","603
001","58","3.845","75.9","19.0","3.4","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"","627
001","37","3.541","32.4","48.6","16.2",".","2.7",".",".",".",".",".",".",".",".",".",".","."
"","627
101","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Consumer Finance","Course Total","38","3.553","34.2","47.4","15.8",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"","635
001","23","3.196","21.7","34.8","21.7","13.0","4.3","4.3",".",".",".",".",".",".",".",".",".","."
"","635
002","46","3.467","23.9","54.3","15.2","4.3","2.2",".",".",".",".",".",".",".",".",".",".","."
"","635
003","39","3.654","48.7","38.5","10.3",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"","635
103","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Estate Plng for Fincl Planners","Course Total","112","3.460","33.9","42.9","14.3","4.5","2.7","0.9","0.9",".",".",".",".",".",".",".",".","."
"","657
001","43","3.488","32.6","39.5","23.3","2.3","2.3",".",".",".",".",".",".",".",".",".",".","."
"","657
002","73","3.945","91.8","6.8",".","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"","657
003","73","3.849","82.2","11.0","2.7","2.7","1.4",".",".",".",".",".",".",".",".",".",".","."
"","657
004","74","3.655","48.6","36.5","12.2","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","263","3.762","67.3","21.7","8.0","2.3","0.8",".",".",".",".",".",".",".",".",".",".","."
"","665
001","38","3.829","81.6","7.9","7.9",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"","665
101","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Household Risk Management","Course Total","41","3.841","82.9","7.3","7.3",".","2.4",".",".",".",".",".",".",".",".",".",".","."
"","675
001","45","3.578","42.2","42.2","8.9","2.2","4.4",".",".",".",".",".",".",".",".",".",".","."
"","675
002","45","3.722","73.3","11.1","4.4","8.9","2.2",".",".",".",".",".",".",".",".",".",".","."
"Family Financial Counseling","Course Total","90","3.650","57.8","26.7","6.7","5.6","3.3",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","699
022","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Household Finance & Well-Being","775
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Causal Models Hshld Cnsr Res","778
001","6","3.333","83.3",".",".",".",".",".","16.7",".",".",".",".",".",".",".",".","."
