"CLASSICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"244
CLASSICS","","","","","","","","","","","","","","","","","","","",""
"Topics in CANES - Literature","102","001","79","3.759","82.3","6.3","6.3","1.3","1.3",".","2.5",".",".",".",".",".",".",".",".","."
"Med Term-Greek&Latin Origin","205","001","152","3.700","60.5","23.7","11.2","2.6",".",".","0.7",".",".",".",".",".",".",".","1.3","."
"Intro to Biblical Lit","227","001","15","3.769","53.3","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".","13.3","."
"Classical Mythology","270","001","206","3.518","51.9","18.4","16.5","5.3","1.5","3.4",".","2.9",".",".",".",".",".",".",".","."
"Art & Archaeology-Ancient Rome","304","001","18","3.700","55.6","11.1","11.1","5.6",".",".",".","16.7",".",".",".",".",".",".",".","."
"Africana Approach Bibl Intrprt","315","001","9","3.071","22.2","33.3","11.1",".",".",".","11.1","11.1",".",".",".",".","11.1",".",".","."
"The Romans","322","001","126","3.833","81.0","11.9","4.0","0.8","1.6","0.8",".",".",".",".",".",".",".",".",".","."
"Sex and Power","361","001","25","3.870","76.0","8.0","8.0",".",".",".",".",".",".",".",".",".",".","8.0",".","."
"Athenian Democracy","362","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","373","001","12","3.500","66.7","16.7","8.3",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","373","002","8","3.714","50.0","25.0","12.5",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","373","003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Classical Culture","","Course Total","23","3.636","65.2","17.4","8.7",".",".",".","4.3","4.3",".",".",".",".",".",".",".","."
"Religion-Ancient Mediterranean","517","001","17","3.735","82.4",".","5.9","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"Palmyra","523","001","6","3.800","66.7",".","16.7",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Undergrad Smr:Classicl Wrld","591","001","10","3.600","80.0",".","10.0",".",".","10.0",".",".",".",".",".",".",".",".",".","."
"","682","043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","058","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","699","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","042","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","050","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Reading","","Course Total","5","***","","","","","","","","","","","","","","","",""
