"COMMUNICATION ARTS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"","313","001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313","002","24","3.458","45.8","20.8","25.0","4.2",".","4.2",".",".",".",".",".",".",".",".",".","."
"","313","003","11","3.273","36.4","18.2","27.3",".","18.2",".",".",".",".",".",".",".",".",".",".","."
"Topics: Film and Media Studies","","Course Total","55","3.618","63.6","12.7","16.4","1.8","3.6","1.8",".",".",".",".",".",".",".",".",".","."
"Rhetoric and Health","317","001","85","3.794","82.4","7.1","5.9","1.2","1.2","2.4",".",".",".",".",".",".",".",".",".","."
"Business & Culture of Disney","323","001","58","3.553","55.2","22.4","5.2","10.3","3.4","1.7",".",".",".",".",".",".",".",".","1.7","."
"Media & Human Behavior","325","001","49","3.583","59.2","10.2","24.5","2.0",".",".","2.0","2.0",".",".",".",".",".",".",".","."
"Music Industries & Pop Culture","330","001","76","3.250","19.7","42.1","22.4","7.9","5.3","1.3","1.3",".",".",".",".",".",".",".",".","."
"Online Comm & Personal Rltnshp","345","001","94","3.186","21.3","28.7","25.5","19.1","4.3",".","1.1",".",".",".",".",".",".",".",".","."
"Introduction to Film","350","001","123","3.530","42.3","32.5","13.0","3.3","2.4","0.8","0.8","4.9",".",".",".",".",".",".",".","."
"Television Industries","351","001","83","3.120","12.0","37.3","28.9","10.8","8.4","2.4",".",".",".",".",".",".",".",".",".","."
"Intro to Media Production","355","001","111","3.446","36.0","37.8","16.2","4.5","3.6","0.9","0.9",".",".",".",".",".",".",".",".","."
"Rhetoric, Politics, Culture","360","001","72","3.458","47.2","27.8","12.5","2.8","6.9","1.4","1.4",".",".",".",".",".",".",".",".","."
"Persuasion & Social Influence","368","001","96","3.181","36.5","19.8","13.5","9.4","14.6","3.1","1.0","1.0",".",".",".",".",".",".","1.0","."
"Topics in Digital Studies","377","001","49","3.602","55.1","30.6","8.2",".","4.1",".","2.0",".",".",".",".",".",".",".",".","."
"Latino/as and Media","419","001","16","3.567","50.0","18.8","12.5","12.5",".",".",".",".",".",".",".",".","6.3",".",".","."
"Media and National Identity","448","001","37","3.319","35.1","21.6","18.9","13.5","8.1",".",".","2.7",".",".",".",".",".",".",".","."
"New Media and Society","459","001","56","3.661","57.1","26.8","10.7","1.8","3.6",".",".",".",".",".",".",".",".",".",".","."
"Editing & Post-prod:Video&Film","465","001","45","3.852","82.2","11.1","2.2",".",".","2.2",".",".","2.2",".",".",".",".",".",".","."
"Writing for TV & Film","466","001","44","3.581","52.3","25.0","11.4","2.3","6.8",".",".","2.3",".",".",".",".",".",".",".","."
"Cinematography & Sound Rcrdng","467","001","18","3.639","50.0","33.3","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Political Discourse","470","001","37","3.595","73.0","5.4","8.1","5.4","5.4",".","2.7",".",".",".",".",".",".",".",".","."
"Classical Rhetorical Theory","570","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Studies Capstone","605","001","152","",".",".",".",".",".",".",".",".",".","99.3","0.7",".",".",".",".","."
"","609","001","16","3.719","87.5","6.3",".",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","609","002","18","3.556","55.6","16.7","16.7","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Production","","Course Total","34","3.632","70.6","11.8","8.8","2.9","2.9",".","2.9",".",".",".",".",".",".",".",".","."
"","613","001","23","3.783","69.6","17.4","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","613","003","15","3.433","40.0","20.0","26.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Film","","Course Total","38","3.645","57.9","18.4","18.4","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Field Exper in Communicatn","614","001","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","616","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","616","002","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Media and Youth","","Course Total","10","3.550","60.0","20.0",".","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Adv Motion Pic Prod Wkshp","659","001","18","3.722","72.2","5.6","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","699","033","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","040","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
