"Summary by Level","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"SCAND ST","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","***","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Sophomore","","13","3.750","69.2","15.4","15.4",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","14","3.740","57.1","35.7","7.1",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","34","3.835","79.4","11.8","5.9","2.9","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","63","3.723","71.4","17.5","7.9","1.6","",".","",".","","1.6",".","",".",".","",".","",".",".",".",".","."
"Special","","9","4.000","11.1",".",".",".","",".","",".","",".","88.9","",".",".","",".","",".",".",".",".","."
"Graduate","","26","3.969","73.1","3.8",".",".","",".","",".","",".","19.2","",".",".","",".","",".","3.8",".",".","."
"Prof Yr 3","","1","***","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Professionals","","1","***","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
