"ASIAN LANG & CULTURE: LANG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"186
ASIALANG","","","","","","","","","","","","","","","","","","","",""
"358","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"358","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"358","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"358","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Asian Language","Course Total","","11","3.950","81.8","9.1",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"375
Advanced Japanese: Foundations","001","","18","3.528","50.0","16.7","27.8",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"377
Bus Japanese Communication","001","","17","3.735","82.4",".","5.9","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"379","001","","21","3.857","76.2","19.0","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"379","002","","23","3.609","47.8","26.1","26.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Business Chinese","Course Total","","44","3.727","61.4","22.7","15.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"422","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"422","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"422","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"422","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"422","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"8th Semester Asian Language","Course Total","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"452
Advanced Japanese: AV Media","001","","16","3.781","81.3","6.3","6.3",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"454
Advanced Chinese through Media","001","","14","3.786","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"456
Advanced Korean Through Media","001","","18","3.938","77.8","11.1",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"475","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"475","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Topics: Asian Translation","Course Total","","5","***","","","","","","","","","","","","","","","",""
"560
Adv. Reading in Asian Language","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
