"Summary by Level","#","Ave","A","AB","B","","BC","","C","","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"MEDICINE","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","3","***","","","","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","6","4.000","83.3",".","",".","",".","",".","",".","",".",".","",".",".","",".",".",".",".","16.7","."
"Junior","43","3.989","93.0","2.3","",".","",".","",".","",".","",".",".","",".",".","",".",".",".",".","4.7","."
"Senior","103","4.000","100.0",".","",".","",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","155","3.997","97.4","0.6","",".","",".","",".","",".","",".",".","",".",".","",".",".",".",".","1.9","."
"Graduate","81","3.977","25.9","1.2","",".","",".","",".","",".","",".","70.4","",".",".","",".","2.5",".",".",".","."
"Prof Yr 1","19","4.000","68.4",".","",".","",".","",".","",".","",".","5.3","",".","26.3","",".",".",".",".",".","."
"Prof Yr 2","2","***","","","","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 3","245","",".",".","",".","",".","",".","",".","",".","98.0","",".",".","",".",".","0.4","0.4","1.2","."
"Prof Yr 4","253","",".",".","",".","",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"Professionals","519","4.000","2.5",".","",".","",".","",".","",".","",".","95.6","",".","1.0","",".",".","0.2","0.2","0.6","."
