"ACCOUNTING AND INFO SYSTE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","",""
"","100
001","33","3.333","42.4","18.2","12.1","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"","100
002","36","3.139","36.1","22.2","13.9","11.1","11.1",".","5.6",".",".",".",".",".",".",".",".","."
"","100
003","35","3.071","34.3","17.1","17.1","14.3","11.4",".","5.7",".",".",".",".",".",".",".",".","."
"","100
004","32","3.125","31.3","15.6","25.0","15.6","9.4",".","3.1",".",".",".",".",".",".",".",".","."
"","100
005","35","3.071","28.6","22.9","8.6","20.0","17.1","2.9",".",".",".",".",".",".",".",".",".","."
"","100
006","34","3.235","23.5","32.4","23.5","8.8","11.8",".",".",".",".",".",".",".",".",".",".","."
"","100
007","37","3.041","13.5","37.8","18.9","13.5","13.5",".","2.7",".",".",".",".",".",".",".",".","."
"","100
008","35","3.414","40.0","25.7","17.1","11.4","5.7",".",".",".",".",".",".",".",".",".",".","."
"","100
009","36","3.167","33.3","19.4","16.7","13.9","13.9","2.8",".",".",".",".",".",".",".",".",".","."
"","100
010","34","3.103","44.1","11.8","5.9","20.6","11.8",".","5.9",".",".",".",".",".",".",".",".","."
"","100
011","32","3.452","46.9","18.8","9.4","18.8","3.1",".",".",".",".",".",".",".","3.1",".",".","."
"","100
012","34","3.118","38.2","14.7","14.7","14.7","11.8","2.9","2.9",".",".",".",".",".",".",".",".","."
"","100
013","36","3.403","50.0","22.2","5.6","13.9","2.8","5.6",".",".",".",".",".",".",".",".",".","."
"","100
014","33","2.788","12.1","9.1","27.3","33.3","15.2","3.0",".",".",".",".",".",".",".",".",".","."
"Intro Financial Accounting","Course Total","482","3.175","33.8","20.7","15.4","16.2","10.6","1.2","1.9",".",".",".",".",".","0.2",".",".","."
"","211
001","22","3.295","36.4","4.5","40.9","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","211
002","30","3.250","23.3","30.0","33.3","6.7","3.3","3.3",".",".",".",".",".",".",".",".",".","."
"","211
003","31","3.145","29.0","16.1","29.0","12.9","9.7","3.2",".",".",".",".",".",".",".",".",".","."
"","211
004","31","3.403","35.5","25.8","22.6","16.1",".",".",".",".",".",".",".",".",".",".",".","."
"","211
005","28","3.321","32.1","17.9","35.7","10.7","3.6",".",".",".",".",".",".",".",".",".",".","."
"","211
006","17","3.000","29.4","5.9","17.6","29.4","17.6",".",".",".",".",".",".",".",".",".",".","."
"","211
007","19","2.921","15.8","36.8","5.3","21.1","15.8",".","5.3",".",".",".",".",".",".",".",".","."
"","211
008","35","3.143","22.9","17.1","31.4","22.9","5.7",".",".",".",".",".",".",".",".",".",".","."
"","211
009","33","3.227","39.4","9.1","21.2","18.2","12.1",".",".",".",".",".",".",".",".",".",".","."
"","211
010","30","3.217","26.7","16.7","40.0","13.3",".","3.3",".",".",".",".",".",".",".",".",".","."
"","211
011","20","3.100","20.0","20.0","35.0","10.0","15.0",".",".",".",".",".",".",".",".",".",".","."
"","211
100","37","3.153","27.0","32.4","8.1","18.9","5.4","2.7","2.7",".",".",".",".",".","2.7",".",".","."
"Intro Managerial Accounting","Course Total","333","3.196","28.5","19.8","26.7","16.2","6.6","1.2","0.6",".",".",".",".",".","0.3",".",".","."
"","300
001","166","3.431","48.8","21.7","15.1","7.8","2.4","2.4","1.8",".",".",".",".",".",".",".",".","."
"","300
002","45","3.533","48.9","24.4","13.3","11.1","2.2",".",".",".",".",".",".",".",".",".",".","."
"","300
003","47","3.585","46.8","31.9","14.9","4.3","2.1",".",".",".",".",".",".",".",".",".",".","."
"","300
004","41","3.378","41.5","22.0","17.1","14.6","2.4","2.4",".",".",".",".",".",".",".",".",".","."
"Accounting Principles","Course Total","299","3.463","47.5","23.7","15.1","8.7","2.3","1.7","1.0",".",".",".",".",".",".",".",".","."
"","301
001","28","3.375","21.4","42.9","28.6","3.6","3.6",".",".",".",".",".",".",".",".",".",".","."
"","301
002","36","3.514","41.7","33.3","13.9","8.3","2.8",".",".",".",".",".",".",".",".",".",".","."
"","301
003","38","3.474","50.0","21.1","10.5","10.5","7.9",".",".",".",".",".",".",".",".",".",".","."
"","301
004","38","3.632","57.9","23.7","7.9","7.9","2.6",".",".",".",".",".",".",".",".",".",".","."
"","301
005","41","3.415","26.8","41.5","22.0","7.3","2.4",".",".",".",".",".",".",".",".",".",".","."
"","301
006","40","3.638","55.0","27.5","7.5","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","301
007","38","3.500","34.2","44.7","10.5","7.9","2.6",".",".",".",".",".",".",".",".",".",".","."
"Financial Reporting I","Course Total","259","3.512","41.7","33.2","13.9","8.1","3.1",".",".",".",".",".",".",".",".",".",".","."
"","302
001","17","3.382","41.2","35.3","5.9","5.9","5.9","5.9",".",".",".",".",".",".",".",".",".","."
"","302
002","22","3.568","45.5","31.8","13.6","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"July 27, 2025","","","","","","","","","","","","","","","","","","","Page 52 of 486"
