"ITALIAN (FRENCH AND ITALIAN) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","","",""
"","101
001","","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
002","","18","3.765","66.7","22.2",".",".","5.6",".",".","5.6",".",".",".",".",".",".",".","."
"","101
003","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Italian","Course Total","","49","3.885","81.6","14.3",".",".","2.0",".",".","2.0",".",".",".",".",".",".",".","."
"","102
001","","22","3.750","72.7","13.6","9.1",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","102
002","","15","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","","18","3.389","61.1","16.7",".","5.6","11.1",".","5.6",".",".",".",".",".",".",".",".","."
"","102
004","","14","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Italian","Course Total","","69","3.696","69.6","18.8","4.3","1.4","4.3",".","1.4",".",".",".",".",".",".",".",".","."
"Third Semester Italian","203
001","","11","3.773","81.8","9.1",".",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Italian","204
001","","10","3.800","80.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Writing Workshop","312
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Italian Lit and Culture II","322
001","","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rome: Lust for Glory","350
002","","14","3.464","50.0","28.6",".","7.1","14.3",".",".",".",".",".",".",".",".",".",".","."
"Special Topics-Italian Lit","450
001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The 18th Century","622
001","","9","3.778","77.8",".","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Studies in Italian Lit","952
001","","6","3.250","33.3","16.7","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","990
004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research","Course Total","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
