"ART HISTORY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"180
ART HIST","","","","","","","","","","","","","","","","","","","","",""
"","103","002","","122","3.748","76.2","4.1","9.0","0.8","2.5",".","1.6","5.7",".",".",".",".",".",".",".","."
"","103","003","","45","3.738","62.2","20.0",".",".","6.7",".",".","11.1",".",".",".",".",".",".",".","."
"","103","004","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","103","005","","29","3.759","75.9","13.8",".","6.9","3.4",".",".",".",".",".",".",".",".",".",".","."
"Topics in Art History","","Course Total","","209","3.764","74.6","8.6","5.3","1.4","3.3",".","1.0","5.7",".",".",".",".",".",".",".","."
"South Asian Architectural Hist","179","001","","9","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"History of Western Art I","201","001","","58","2.984","15.5","5.2","15.5","6.9","5.2","5.2",".","46.6",".",".",".",".",".",".",".","."
"The Modernist Revolution","227","001","","75","3.845","49.3","1.3","1.3","2.7","1.3",".",".",".",".",".",".",".","1.3",".","42.7","."
"Making the American Landscape","239","001","","63","3.679","36.5","1.6","1.6","1.6","1.6",".","1.6","55.6",".",".",".",".",".",".",".","."
"Intro to Afro-American Art","242","001","","29","3.931","86.2","13.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dimensions-Material Culture","264","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","303","001","","56","3.727","44.6","28.6","1.8","3.6",".",".",".","21.4",".",".",".",".",".",".",".","."
"","303","002","","55","3.468","41.8","25.5","12.7",".",".","1.8","3.6","14.5",".",".",".",".",".",".",".","."
"","303","003","","13","3.864","69.2","7.7","7.7",".",".",".",".","15.4",".",".",".",".",".",".",".","."
"","303","004","","16","3.786","68.8","12.5",".",".","6.3",".",".","12.5",".",".",".",".",".",".",".","."
"Topics in Art History","","Course Total","","140","3.642","48.6","23.6","6.4","1.4","0.7","0.7","1.4","17.1",".",".",".",".",".",".",".","."
"Art & Archaeology-Ancient Rome","304","001","","9","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"History of Islamic Art & Arch.","305","001","","37","3.574","43.2","35.1","5.4","5.4",".","2.7",".","8.1",".",".",".",".",".",".",".","."
"Study Abroad: 18th-20th C Art","337","00A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Art History","403","001","","14","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".",".",".","7.1","."
"Cities&Sanctuaries-Anc Greece","405","001","","24","3.500","50.0","12.5","12.5","4.2",".",".","4.2","12.5",".",".",".",".",".","4.2",".","."
"Topic:Afr&Diaspora Art Hist","412","001","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Medieval Art","415","001","","20","3.450","20.0","10.0","15.0","5.0",".",".",".","45.0",".",".",".",".","5.0",".",".","."
"Visual Cultures of India","428","001","","7","3.400","14.3","42.9",".","14.3",".",".",".","28.6",".",".",".",".",".",".",".","."
"Frank Lloyd Wright","468","001","","49","3.846","44.9","4.1","2.0",".","2.0",".",".","46.9",".",".",".",".",".",".",".","."
"Proseminar in Islamic Art","510","001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Proseminar in Medieval Art","515","001","","9","3.611","44.4","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prosmr:19th Cent European Art","555","001","","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","600","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","600","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","600","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics-Art History","","Course Total","","8","3.857","75.0",".","12.5",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Senior Honors Thesis","682","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Topics in American Art History","706","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Medieval Art","715","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
