"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"IES","","","","","","","","","","","","","","","","","","","",""
"ENVIR ST - GAYLORD NELSON I Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Forum on the Environment","101","001","114","3.996","99.1","0.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Climate and Climate Change","102","001","53","3.604","58.5","26.4","3.8","7.5","1.9",".","1.9",".",".",".",".",".",".",".",".","."
"Environmental Geology","106","001","26","3.500","38.5","30.8","26.9",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"Environmental Humanities","113","001","171","3.899","85.4","8.8","2.3","0.6","1.2",".",".",".",".",".",".",".",".","1.8",".","."
"Intro Earth System","120","001","37","3.056","13.5","27.0","32.4","10.8","10.8","2.7",".",".",".",".",".",".",".","2.7",".","."
"Green Screen","125","001","32","3.734","75.0","15.6","3.1",".","3.1","3.1",".",".",".",".",".",".",".",".",".","."
"Principles-Envrnmtl Science","126","001","34","3.742","64.7","20.6","5.9","5.9",".",".",".",".",".",".",".",".",".",".","2.9","."
"Global Environmental Issues","139","001","45","3.433","28.9","35.6","31.1","2.2","2.2",".",".",".",".",".",".",".",".",".",".","."
"","153","001","48","3.927","95.8",".",".","2.1","2.1",".",".",".",".",".",".",".",".",".",".","."
"","153","002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Literature and the Environment","","Course Total","57","3.939","96.5",".",".","1.8","1.8",".",".",".",".",".",".",".",".",".",".","."
"Global Chg: Atmospheric Iss","171","001","11","3.500","45.5","27.3","18.2",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","201","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","201","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","201","003","11","3.727","45.5","54.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Insects and Human Culture","","Course Total","20","3.675","45.0","50.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Careers in the Environment","202","001","29","3.845","93.1","3.4",".",".",".",".","3.4",".",".",".",".",".",".",".",".","."
"Glbl Envir Hlth:Interdis Intro","213","001","168","3.884","78.6","19.6","1.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sustainability","215","001","27","3.889","85.2","7.4","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soil: Ecosystem & Resource","230","001","14","2.821","35.7","14.3","7.1","7.1","14.3","21.4",".",".",".",".",".",".",".",".",".","."
"Making the American Landscape","239","001","51","3.873","90.2","5.9","2.0",".",".",".","2.0",".",".",".",".",".",".",".",".","."
"Environment&Global Economy","244","001","38","3.697","65.8","18.4","13.2",".",".","2.6",".",".",".",".",".",".",".",".",".","."
"Introductory Ecology","260","001","20","3.100","40.0","10.0","15.0",".","35.0",".",".",".",".",".",".",".",".",".",".","."
"People, Land and Food","309","001","31","3.903","90.3",".","9.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","317","001","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","317","002","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Comm Envir Scholars Seminar","","Course Total","37","3.973","94.6","5.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Systems & LCA","326","001","30","3.917","93.3","3.3",".",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"Green Urbanism","333","001","31","3.823","74.2","16.1","9.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nature, Power and Society","337","001","12","3.091","8.3","50.0","8.3","16.7",".","8.3",".",".",".",".",".",".","8.3",".",".","."
"Environmental Conservation","339","001","43","3.221","25.6","25.6","32.6","4.7","9.3","2.3",".",".",".",".",".",".",".",".",".","."
"Environmental Economics","343","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Climate Change Governance","349","001","98","3.549","42.9","33.7","11.2","2.0","2.0","1.0","1.0","6.1",".",".",".",".",".",".",".","."
"Introduction to Air Quality","355","001","19","3.553","36.8","42.1","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Wetlands Ecology","361","001","29","3.786","62.1","27.6","6.9",".",".",".",".",".",".",".",".",".","3.4",".",".","."
"Renewable Energy Systems","367","001","19","3.447","42.1","26.3","15.8","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"Intro Envir Remote Sensing","371","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","19","3.421","47.4","31.6","10.5",".","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"Sustainability Cmty Engagement","398","001","47","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"July 27, 2025","","","","","","","","","","","","","","","","","","","Page 175 of 486",""
