"EDUCATIONAL PSYCHOLOGY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","","","",""
"","711","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","711","012","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics-Ed Psych","","Course Total","","55","3.952","90.9","7.3",".",".",".",".",".",".",".",".",".",".","1.8",".",".","."
"Ed Psych Diversity Seminar","712","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Qualitative Research","719","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adolescent Development","721","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Socl, Emotionl&Behav Assessmnt","741","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assessment of Acad Skill Probs","742","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Design of Single-Case Research","743","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Design/Manage Learning Env","745","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","761","001","","38","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","761","002","","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Meth-Applied to Ed II","","Course Total","","52","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Regression Models in Education","763","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human-Computer Interaction","770","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Scaling, Factr&Cluster Analys","773","001","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Qual Rsch Mthds-Educ: Field I","788","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Learning Sciences II","796","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Quant Inquiry in Educ","822","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Beg Practicum in School Psych","828","001","","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinic Practicum School Psych","829","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","830","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","830","002","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Practicum School Psych","","Course Total","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv. Practicum School Psych","840","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Sysms-Consltn in Schl Psych","942","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","943","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","943","002","","18","3.778","94.4",".",".",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"Internshp-School Psychology","","Course Total","","22","3.810","95.5",".",".",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"Adv Assess&Interven Techniques","946","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Evidence-based Chld Psychother","947","001","","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Structural Equation Modeling","960","001","","21","3.900","85.7",".","9.5",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"Hierarchical Linear Modeling","964","001","","20","3.974","90.0","5.0",".",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"","990","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"July 27, 2025","","","","","","","","","","","","","","","","","","","","Page 103 of 486",""
