"Chic Lat US Social Mvmt","501
001","15","3.857","80.0","6.7",".","6.7",".","",".",".",".",".","",".",".","",".","","6.7",".",".","."
"Latin@ Mental Health","525
001","22","3.786","72.7","4.5","18.2",".",".","",".",".",".",".","",".",".","",".","","4.5",".",".","."
"Adv Topc-Chicana/o&Latina/o St","530
003","5","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"CHICLA
228","Dept. Total","278","3.660","63.7","16.9","11.2","2.2","4.0","",".","0.7","0.7","",".",".","",".","",".","0.7",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"228
CHICLA","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","28","3.107","35.7","17.9","17.9","3.6","21.4","",".","3.6",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","69","3.649","60.9","18.8","14.5","1.4","1.4","",".","1.4",".","",".",".","",".","",".","1.4",".",".","."
"Junior","","82","3.704","63.4","20.7","9.8","1.2","3.7","",".",".",".","",".",".","",".","",".","1.2",".",".","."
"Senior","","96","3.787","75.0","12.5","8.3","3.1","1.0","",".",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","275","3.658","64.0","17.1","11.3","2.2","4.0","",".","0.7",".","",".",".","",".","",".","0.7",".",".","."
"Special","","2","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","","1","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"","Dept. Total","278","3.660","63.7","16.9","11.2","2.2","4.0","",".","0.7","0.7","",".",".","",".","",".","0.7",".",".","."
