"REHAB PSYCH & SPECIAL EDUC Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","",""
"300","001","","101","3.743","67.3","22.8","6.9","1.0","1.0",".","1.0",".",".",".",".",".",".",".",".","."
"300","002","","76","3.770","65.8","23.7","9.2","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"Individls with Disabilities","Course Total","","177","3.754","66.7","23.2","7.9","1.1","0.6",".","0.6",".",".",".",".",".",".",".",".","."
"330
Behav Anal:Person-Disabilty","001","","29","3.897","82.8","13.8","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"450
Families-Individs w/ Disabils","001","","24","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"469
Acad Instr:Learn & Behav Disab","001","","23","3.652","82.6","8.7",".",".",".","4.3","4.3",".",".",".",".",".",".",".",".","."
"470
Indiv/Learn & Behav Disability","001","","29","3.554","75.9","3.4","6.9",".","3.4",".","6.9",".",".",".",".",".","3.4",".",".","."
"471
Meth&Curric:Lrn&Bhv Disabl,K-9","001","","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"473
Mgmt: Stdts/Lrn&Bhv Disability","001","","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"475
Pract: Stdts/Lrn&Bhv Dis, K-9","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"477","001","","8","4.000","37.5",".",".",".",".",".",".",".",".",".",".",".","62.5",".",".","."
"477","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"477","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teach: Lrn&Bhv Dis, K-9","Course Total","","15","4.000","40.0",".",".",".",".",".",".",".",".",".",".",".","60.0",".",".","."
"478","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"478","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teach:Lrn & Bhv Dis, 6-12","Course Total","","3","***","","","","","","","","","","","","","","","",""
"500
Rehab-Cnslg Psych: Foundatn","001","","37","3.757","62.2","27.0","10.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"501
Rehab-Cnslg Psych: Applcatn","001","","19","3.895","78.9","21.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"505
Bio,Psych,&Voc Aspt-Disabil","001","","53","3.913","84.9","9.4","3.8",".",".",".",".",".",".",".",".",".","1.9",".",".","."
"506
Strategy-Inclusive Schoolng","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"540
Assessmnt Adults-Disablties","001","","24","3.250","20.8","33.3","29.2","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"560
Rehab Psych-Psycho-Soc Asp","001","","27","3.667","59.3","22.2","11.1","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"630","019","","21","4.000","95.2",".",".",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"630","020","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrshp-Rehab or Spec Educ","Course Total","","40","4.000","97.5",".",".",".",".",".",".",".",".",".",".",".","2.5",".",".","."
"660","015","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"660","036","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"690","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"690","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","017","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"690","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","15","",".",".",".",".",".",".",".","80.0",".",".",".","13.3","6.7",".",".","."
"699","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
