"Biochm Genetics for Counselors","744
001","5","***","","","","","","","","","","","","","","",".",".","",".",".",".",".","."
"Adv Pract-Genetic Counselng","813
005","5","***","","","","","","","","","","","","","","",".",".","",".",".",".",".","."
"Research","990
048","4","***","","","","","","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Work","999
045","5","***","","","","","","","","","","","","","","",".",".","",".",".",".",".","."
"MD GENET
616","Dept. Total","267","3.937","28.8","4.1","",".","",".","",".","",".","",".","63.3","0.4",".","",".","1.5","1.1",".",".","0.7"
"Summary by Level","","#","Ave","A","AB","B","","BC","","C","","D","","F","","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"616
MD GENET","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","5","4.000","60.0",".","",".","",".","",".","",".","",".",".",".",".","",".",".","40.0",".",".","."
"Sophomore","","5","4.000","100.0",".","",".","",".","",".","",".","",".",".",".",".","",".",".",".",".",".","."
"Junior","","12","4.000","91.7",".","",".","",".","",".","",".","",".",".",".",".","",".",".","8.3",".",".","."
"Senior","","23","4.000","100.0",".","",".","",".","",".","",".","",".",".",".",".","",".",".",".",".",".","."
"Undergraduates","","45","4.000","93.3",".","",".","",".","",".","",".","",".",".",".",".","",".",".","6.7",".",".","."
"Graduate","","50","3.857","70.0","22.0","",".","",".","",".","",".","",".",".",".",".","",".","8.0",".",".",".","."
"Prof Yr 1","","168","",".",".","",".","",".","",".","",".","",".","98.8",".",".","",".",".",".",".",".","1.2"
"Prof Yr 2","","4","",".",".","",".","",".","",".","",".","",".","75.0","25.0",".","",".",".",".",".",".","."
"Professionals","","172","",".",".","",".","",".","",".","",".","",".","98.3","0.6",".","",".",".",".",".",".","1.2"
"","Dept. Total","267","3.937","28.8","4.1","",".","",".","",".","",".","",".","63.3","0.4",".","",".","1.5","1.1",".",".","0.7"
