"ZOOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","","",""
"316","003","","19","3.330","21.1","36.8","31.6","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"Lab:Conservatn-Aquatic Rsrc","Course Total","","58","3.522","37.9","37.9","19.0","1.7","3.4",".",".",".",".",".",".",".",".",".",".","."
"360
Extinction of Species","001","","172","2.988","16.3","12.8","50.0","5.8","10.5","3.5","1.2",".",".",".",".",".",".",".",".","."
"380
Honors Proseminar","001","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"400","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"400","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"400","005","","12","3.707","58.3","16.7","8.3","8.3",".",".",".",".",".",".",".",".","8.3",".",".","."
"Topics in Biology","Course Total","","18","3.788","72.2","11.1","5.6","5.6",".",".",".",".",".",".",".",".","5.6",".",".","."
"430
Compar Anatomy-Vertebrates","001","","115","3.219","36.5","13.9","20.0","17.4","9.6","1.7",".",".",".",".",".",".",".",".",".","0.9"
"460
General Ecology","001","","46","3.554","52.2","15.2","26.1","4.3","2.2",".",".",".",".",".",".",".",".",".",".","."
"466
General Genetics","001","","39","2.513","10.3","10.3","12.8","17.9","38.5","7.7",".","2.6",".",".",".",".",".",".",".","."
"523
Neurobiology","001","","75","3.264","41.3","21.3","14.7","4.0","12.0","4.0","1.3",".",".",".",".",".",".",".",".","1.3"
"540
Theoretical Ecology","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"555
Lab-Developmental Biology","001","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"570
Cell Biology","001","","215","3.189","42.8","7.4","25.1",".","20.0","1.9","1.4","0.5",".",".",".",".","0.9",".",".","."
"603
Endocrinology","001","","65","3.031","24.6","12.3","30.8","12.3","18.5","1.5",".",".",".",".",".",".",".",".",".","."
"619
Biology of Mind","001","","29","3.345","48.3","3.4","31.0","3.4","13.8",".",".",".",".",".",".",".",".",".",".","."
"630
Cellulr Signal Transductn Mech","001","","8","3.125",".","25.0","75.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"645
Modeling Pop Genetics&Evolutn","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"691","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"698
Directed Study","059","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"699","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","18","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".","16.7","."
"699","019","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","047","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","048","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","3","***","","","","","","","","","",".",".",".",".",".",".","."
