"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"","224
001","71","2.993","23.9","12.7","36.6","5.6","15.5","4.2","1.4",".",".",".",".",".",".",".",".","."
"","224
002","65","2.969","21.5","13.8","40.0","4.6","15.4",".","4.6",".",".",".",".",".",".",".",".","."
"Intro Stats for Engineers","Course Total","136","2.982","22.8","13.2","38.2","5.1","15.4","2.2","2.9",".",".",".",".",".",".",".",".","."
"","301
001","135","3.170","27.4","28.1","19.3","11.9","9.6","2.2","1.5",".",".",".",".",".",".",".",".","."
"","301
002","78","2.801","26.9","3.8","33.3","10.3","14.1","5.1","6.4",".",".",".",".",".",".",".",".","."
"","301
003","143","3.142","23.1","26.6","25.2","14.0","4.9","4.2","0.7","1.4",".",".",".",".",".",".",".","."
"","301
004","118","3.261","34.7","26.3","16.9","8.5","9.3","1.7","1.7",".",".",".",".",".","0.8",".",".","."
"","301
005","134","3.284","38.8","11.9","35.1","10.4",".",".","3.7",".",".",".",".",".",".",".",".","."
"","301
007","138","3.117","25.4","26.1","15.9","15.2","10.1","1.4","2.2",".",".",".",".",".","2.2","1.4",".","."
"Intro-Statistical Methods","Course Total","746","3.151","29.4","21.7","23.7","11.9","7.5","2.3","2.4","0.3",".",".",".",".","0.5","0.3",".","."
"Intro to Math Statistics","309
001","50","2.970","40.0","2.0","32.0",".","10.0","14.0","2.0",".",".",".",".",".",".",".",".","."
"","311
001","75","3.333","33.3","33.3","16.0","9.3","4.0","4.0",".",".",".",".",".",".",".",".",".","."
"","311
002","70","3.443","38.6","28.6","20.0","8.6","4.3",".",".",".",".",".",".",".",".",".",".","."
"Intro to Mathematical Stat","Course Total","145","3.386","35.9","31.0","17.9","9.0","4.1","2.1",".",".",".",".",".",".",".",".",".","."
"Intro to Mathematical Stat","312
001","74","2.885","20.3","10.8","36.5","9.5","16.2","4.1","2.7",".",".",".",".",".",".",".",".","."
"Intro Applied Stats for Engrs","324
001","67","3.209","20.9","29.9","26.9","14.9","7.5",".",".",".",".",".",".",".",".",".",".","."
"","371
001","144","3.324","38.2","12.5","31.9","9.7","4.9","1.4",".",".",".",".",".",".","1.4",".",".","."
"","371
002","94","3.415","34.0","38.3","11.7","10.6","4.3","1.1",".",".",".",".",".",".",".",".",".","."
"","371
003","99","3.318","34.3","15.2","33.3","14.1","3.0",".",".",".",".",".",".",".",".",".",".","."
"Intro Applied Stats-Life Sci","Course Total","337","3.348","35.9","20.5","26.7","11.3","4.2","0.9",".",".",".",".",".",".","0.6",".",".","."
"Appl Categorical Data Anal","421
001","30","3.200","33.3","33.3","10.0","13.3",".","6.7","3.3",".",".",".",".",".",".",".",".","."
"Stat Expermntl Design-Engrs","424
001","16","3.281","37.5","18.8","12.5","25.0","6.3",".",".",".",".",".",".",".",".",".",".","."
"","431
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","431
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","431
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Theory of Probability","Course Total","8","3.000","37.5",".","12.5","25.0","25.0",".",".",".",".",".",".",".",".",".",".","."
"Intro-Computational Statistics","471
001","22","3.341","40.9","9.1","36.4","4.5","9.1",".",".",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","475
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Linear Programming Methods","525
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Biostatistics","541
001","48","3.723","68.8","16.7","6.3","4.2",".","2.1",".","2.1",".",".",".",".",".",".",".","."
"","571
001","63","3.573","41.3","30.2","27.0",".",".",".",".","1.6",".",".",".",".",".",".",".","."
"","571
002","60","3.525","40.0","26.7","31.7","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Meth for Bioscience I","Course Total","123","3.549","40.7","28.5","29.3","0.8",".",".",".","0.8",".",".",".",".",".",".",".","."
"Mathematical Statistics I","609
001","26","3.340","38.5","34.6","15.4",".",".",".","7.7","3.8",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Stat Mthds for Clin Trials","641
001","18","3.412","50.0","27.8",".","5.6","5.6",".","5.6","5.6",".",".",".",".",".",".",".","."
"","699
033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
114","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
120","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
138","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
262","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","7","3.591","28.6","14.3","14.3",".",".",".",".","14.3",".",".",".",".",".",".","28.6","."
