"AMERICAN INDIAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","","","","","",""
"Literature by Amer Ind Women","246
001","24","3.375","66.7","8.3","8.3",".","4.2","8.3","4.2",".","",".","",".",".","",".","",".",".",".","."
"Indians of North America","314
001","97","2.721","10.3","15.5","23.7","14.4","32.0",".","2.1",".","",".","",".",".","",".","","1.0",".",".","1.0"
"Am Ind Art Histry: Contemp Iss","359
001","9","3.278","11.1","44.4","33.3","11.1",".",".",".",".","",".","",".",".","",".","",".",".",".","."
"American Indian Folklore","431
001","11","3.136","54.5",".","18.2","9.1","9.1",".","9.1",".","",".","",".",".","",".","",".",".",".","."
"","450
006","21","3.786","66.7","23.8","9.5",".",".",".",".",".","",".","",".",".","",".","",".",".",".","."
"","450
015","34","3.382","38.2","35.3","8.8","5.9","8.8","2.9",".",".","",".","",".",".","",".","",".",".",".","."
"","450
016","17","3.118","11.8","47.1","29.4",".","5.9",".","5.9",".","",".","",".",".","",".","",".",".",".","."
"Issues in Amer Ind Studies","Course Total","72","3.438","40.3","34.7","13.9","2.8","5.6","1.4","1.4","",".","",".",".","",".","",".",".",".",".","."
"Ethnobotany","474
001","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Contemp Am Ind Lit Since 1953","650
001","12","3.458","58.3","25.0","8.3",".",".",".","8.3",".","",".","",".",".","",".","",".",".",".","."
"Directed Study","699
004","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"AMER IND
140","Dept. Total","227","3.109","30.8","21.6","18.5","7.9","16.3","1.3","2.6","",".","",".",".","",".","",".","0.4",".",".","0.4"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","47","2.894","14.9","21.3","21.3","12.8","29.8",".",".","",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","46","3.156","34.8","19.6","15.2","10.9","13.0","2.2","2.2","",".","",".",".","",".","",".",".",".",".","2.2"
"Junior","","51","3.108","37.3","19.6","15.7","5.9","13.7","3.9","3.9","",".","",".",".","",".","",".",".",".",".","."
"Senior","","80","3.253","33.8","25.0","21.3","5.0","11.3",".","2.5","",".","",".",".","",".","",".","1.3",".",".","."
"Undergraduates","","224","3.124","30.8","21.9","18.8","8.0","16.1","1.3","2.2","",".","",".",".","",".","",".","0.4",".",".","0.4"
"Special","","1","0.000",".",".",".",".",".",".","100.0","",".","",".",".","",".","",".",".",".",".","."
"Graduate","","2","3.000","50.0",".",".",".","50.0",".",".","",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","227","3.109","30.8","21.6","18.5","7.9","16.3","1.3","2.6","",".","",".",".","",".","",".","0.4",".",".","0.4"
