"LANDSCAPE ARCHITECTURE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"520
LAND ARC","","","","","","","","","","","","","","","","","","","",""
"201","001","","15","3.533","46.7","13.3","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"201","002","","16","3.700","56.3","18.8","18.8",".",".",".",".",".",".",".",".",".",".","6.3",".","."
"Intro Land Arc Studio","Course Total","","31","3.617","51.6","16.1","29.0",".",".",".",".",".",".",".",".",".",".","3.2",".","."
"250","001","","19","3.000","26.3","15.8","26.3","5.3","21.1","5.3",".",".",".",".",".",".",".",".",".","."
"250","002","","14","3.036","21.4","21.4","35.7",".","14.3","7.1",".",".",".",".",".",".",".",".",".","."
"250","003","","23","3.239","30.4","39.1","13.0",".","13.0",".","4.3",".",".",".",".",".",".",".",".","."
"250","004","","17","3.235","41.2","5.9","41.2","5.9",".",".","5.9",".",".",".",".",".",".",".",".","."
"250","005","","17","2.767","11.8","11.8","29.4","17.6","5.9","11.8",".","5.9",".",".",".",".",".","5.9",".","."
"250","006","","18","3.286","33.3","11.1","16.7","11.1",".","5.6",".","11.1",".",".",".",".","5.6","5.6",".","."
"250","007","","7","3.500","57.1",".",".","28.6",".",".",".","14.3",".",".",".",".",".",".",".","."
"Survey of Land Arch Design","Course Total","","115","3.125","29.6","17.4","24.3","7.8","8.7","4.3","1.7","3.5",".",".",".",".","0.9","1.7",".","."
"261
Prin Land Arc Dsgn&Graphics","001","","21","3.625","28.6","61.9","4.8",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"263
Landscape Plants I","001","","23","2.630","4.3","8.7","43.5","21.7","8.7","13.0",".",".",".",".",".",".",".",".",".","."
"299","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Studies","Course Total","","3","***","","","","","","","","","","","","","","","",""
"309
Disease-Landscp Trees&Shrub","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"354
Landscape Arch Tech II","001","","21","3.524","33.3","47.6","14.3",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"365
Planting Design I","001","","22","3.159","27.3","18.2","36.4","13.6",".",".","4.5",".",".",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"462
Regional Design","001","","22","3.048","13.6","18.2","36.4","18.2","9.1",".",".",".",".",".",".",".",".",".","4.5","."
"550
Professionl Pract-Land Arch","001","","22","3.524","40.9","31.8","13.6","4.5","4.5",".",".",".",".",".",".",".",".",".","4.5","."
"610
Seminar-Landscape Arch","001","","23","3.800","13.0","8.7",".",".",".",".",".",".",".",".",".",".","78.3",".",".","."
"666
Restoration Ecology","001","","14","3.464","42.9","14.3","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"670
Adaptive Restoration Lab","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems-Land Arch","Course Total","","5","***","","","","","","","","","","","","","","","",""
"710
Theories-Landscape Change","001","","7","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"940
Graduate Seminar","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","9","",".",".",".",".",".",".",".","66.7",".",".",".","33.3",".",".",".","."
"999","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Studies","Course Total","","3","***","","","","","","","","","","","","","","","",""
