"ASIAN AMERICAN STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","","",""
"","101
001","","70","3.008","5.7","17.1","45.7","12.9","7.1",".",".","7.1",".",".",".",".","4.3",".",".","."
"","101
002","","27","3.729","44.4","40.7","3.7",".",".",".",".","3.7",".",".",".",".","3.7",".",".","3.7"
"Intro to Asian Amer Studies","Course Total","","97","3.209","16.5","23.7","34.0","9.3","5.2",".",".","6.2",".",".",".",".","4.1",".",".","1.0"
"Asian American Movement","153
001","","14","3.714","92.9",".",".",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"Asian Am Hist:Movmnt&Dislocatn","160
001","","69","3.606","55.1","26.1","7.2","2.9","1.4","1.4","1.4","2.9",".",".",".",".",".",".",".","1.4"
"Ethnic Movements in U.S.","220
001","","23","3.413","34.8","43.5","4.3","13.0",".","4.3",".",".",".",".",".",".",".",".",".","."
"","240
001","","27","3.667","74.1","7.4","14.8",".",".",".","3.7",".",".",".",".",".",".",".",".","."
"","240
002","","20","3.921","80.0","15.0",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"Topics-Asian Amer Studies","Course Total","","47","3.772","76.6","10.6","8.5",".",".",".","2.1",".",".",".",".",".","2.1",".",".","."
"Mutl Perceptns-Racl Minorty","443
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","540
001","","25","3.500","36.0","32.0","20.0","8.0",".",".",".",".",".",".",".",".","4.0",".",".","."
"","540
004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","30","3.534","36.7","36.7","16.7","6.7",".",".",".",".",".",".",".",".","3.3",".",".","."
"","560
001","","33","3.234","18.2","21.2","45.5","12.1",".",".",".","3.0",".",".",".",".",".",".",".","."
"","560
002","","28","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Humanities Topics","Course Total","","61","3.575","52.5","14.8","24.6","6.6",".",".",".","1.6",".",".",".",".",".",".",".","."
"Asian Amer Women Writers","595
001","","10","3.450","50.0",".","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Media and Minorities","662
001","","19","3.056",".","42.1","36.8",".","15.8",".",".","5.3",".",".",".",".",".",".",".","."
"","699
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Study:Directed Readings","Course Total","","3","***","","","","","","","","","","","","","","","",""
"ASIAN AM
184","Dept. Total","","375","3.471","43.2","22.7","19.7","5.9","2.4","0.5","0.8","2.7",".",".",".",".","1.6",".",".","0.5"
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","34","3.323","29.4","23.5","29.4","5.9",".",".","2.9","2.9",".",".",".",".","5.9",".",".","."
"Sophomore","","","81","3.492","50.6","19.8","17.3","4.9",".","1.2","2.5","1.2",".",".",".",".","1.2",".",".","1.2"
"Junior","","","104","3.534","47.1","30.8","11.5","5.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"Senior","","","153","3.435","38.6","19.0","24.8","6.5","2.6","0.7",".","5.2",".",".",".",".","2.0",".",".","0.7"
"Undergraduates","","","372","3.467","42.7","22.8","19.9","5.9","2.4","0.5","0.8","2.7",".",".",".",".","1.6",".",".","0.5"
"Special","","","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate","","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","","375","3.471","43.2","22.7","19.7","5.9","2.4","0.5","0.8","2.7",".",".",".",".","1.6",".",".","0.5"
