"HISTORY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"500","002","","7","3.500","42.9","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"500","003","","12","3.125","41.7","25.0","8.3",".","16.7",".","8.3",".",".",".",".",".",".",".",".","."
"Reading Seminar in History","Course Total","","31","3.467","48.4","29.0","6.5","3.2","6.5",".","3.2",".",".",".",".",".",".",".","3.2","."
"504
Society&Health Care-Am Hist","001","","8","3.438","37.5","25.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"514
Eur Cult Hist Since 1870","001","","61","3.250","19.7","26.2","14.8","13.1","3.3","1.6",".","19.7",".",".",".",".",".",".",".","1.6"
"517
Religion-Ancient Mediterranean","001","","18","3.278","33.3","33.3","11.1","11.1","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"543
Drs & Delusions: Madness & Med","001","","8","3.375","37.5","12.5","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"550
Adv Intdis Stdy-Medvl Civ","001","","10","3.500","20.0","40.0","20.0",".",".",".",".",".",".",".",".",".","20.0",".",".","."
"555
History of Brazil","001","","23","2.871","8.7","30.4","26.1","8.7","8.7","8.7",".","8.7",".",".",".",".",".",".",".","."
"561
Greek & Roman Med & Phcy","001","","9","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"570
History of Books&Print Culture","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"600","001","","9","3.643","44.4","11.1","22.2",".",".",".",".",".",".",".",".",".","22.2",".",".","."
"600","003","","17","3.844","76.5","5.9","11.8",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"600","004","","15","3.733","60.0","26.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"600","007","","16","3.375","25.0","37.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"600","008","","15","3.467","33.3","33.3","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"600","009","","12","3.182","33.3","16.7","33.3",".",".",".","8.3",".",".",".",".",".","8.3",".",".","."
"600","012","","15","3.633","40.0","46.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"600","013","","15","3.533","26.7","53.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"600","015","","15","2.885",".","33.3","40.0",".","6.7",".","6.7",".",".",".",".",".","13.3",".",".","."
"600","016","","14","3.821","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Seminar in History","Course Total","","143","3.522","41.3","29.4","21.0","2.1","0.7",".","1.4",".",".",".",".",".","4.2",".",".","."
"622
Hist-Rad&Expermntl Ed in US&UK","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"635
Afro-Amer History to 1900","001","","7","3.143","14.3","28.6","42.9",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"680
Honors Thesis Colloquium","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"681","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","11","",".",".",".",".",".",".",".",".",".",".",".","90.9","9.1",".",".","."
"682","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","7","3.750","42.9","42.9",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"690
Thesis Colloquium","001","","7","4.000","71.4",".",".",".",".",".",".",".",".",".",".",".","28.6",".",".","."
"691","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 24, 2011","","","","","","","","","","","","","","","","","","","Page 223 of 402",""
