"","999
046","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
055","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
080","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Advanced Independent Study","Course Total","14","4.000","92.9",".",".",".",".",".",".",".","",".",".","",".",".",".",".","7.1","."
"E C E
320","Dept. Total","2235","3.276","36.4","17.6","20.6","6.8","5.3","1.6","1.1","5.4","",".","0.1","",".","4.5","0.4","0.0","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","50","3.076","22.0","22.0","36.0","8.0","10.0","2.0",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","104","3.265","44.2","22.1","24.0","3.8","2.9","1.9","1.0",".","",".",".","",".",".",".",".",".","."
"Junior","","411","3.127","36.5","18.0","25.8","7.3","8.8","2.2","1.5",".","",".",".","",".",".",".",".",".","."
"Senior","","961","3.187","37.0","18.9","23.0","9.3","7.3","2.1","1.7","0.2","",".",".","",".",".","0.4","0.1",".","."
"Undergraduates","","1526","3.172","36.9","19.0","24.2","8.3","7.5","2.1","1.5","0.1","",".",".","",".",".","0.3","0.1",".","."
"Special","","74","3.184","37.8","14.9","23.0","8.1","5.4","2.7","2.7","2.7","",".",".","",".",".","1.4",".",".","."
"Graduate","","729","3.624","30.5","12.5","10.0","2.5",".","0.3",".","16.0","",".","12.8","",".","13.7","0.5",".","0.5","."
"Prof Yr 2","","2","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","2","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","2331","3.276","34.9","16.9","19.7","6.5","5.1","1.5","1.1","5.2","",".","4.0","",".","4.3","0.4","0.0","0.2","."
