"CLINICAL LABORATORY SCIENC Section","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"628
CLNLABSC","","","","","","","","","","","","","","","","","","","","","","","",""
"102
001
Intro to Clinical Lab Science","27","3.815","81.5",".","18.5",".",".","",".","",".",".","",".","",".",".",".","",".","",".",".","."
"410
001
Basic Cytology & Lab Procudure","4","***","","","","","","","","","","","","","",".",".",".","",".","",".",".","."
"515
001
Clinical Hematology I","21","3.476","38.1","33.3","19.0","4.8","4.8","",".","",".",".","",".","",".",".",".","",".","",".",".","."
"525
001
Clinical Chemistry I","21","3.524","42.9","23.8","28.6","4.8",".","",".","",".",".","",".","",".",".",".","",".","",".",".","."
"535
001
Lab Diagnos-Infect Disease I","23","3.261","13.0","34.8","43.5","8.7",".","",".","",".",".","",".","",".",".",".","",".","",".",".","."
"540
001
The Female Reproductive System","4","***","","","","","","","","","","","","","",".",".",".","",".","",".",".","."
"541
001
Clinical Practice I","4","***","","","","","","","","","","","","","",".",".",".","",".","",".",".","."
"543
001
The Respiratory System","4","***","","","","","","","","","","","","","",".",".",".","",".","",".",".","."
"550
001
Clinical Immunohematology","21","3.119","9.5","28.6","47.6","4.8","9.5","",".","",".",".","",".","",".",".",".","",".","",".",".","."
"560
001
Clin Immunol & Applied Tech","21","3.310","14.3","33.3","52.4",".",".","",".","",".",".","",".","",".",".",".","",".","",".",".","."
"575
001","12","4.000","100.0",".",".",".",".","",".","",".",".","",".","",".",".",".","",".","",".",".","."
"575
001","1","***","","","","","","","","","","","","","",".",".",".","",".","",".",".","."
"Section Total","13","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".",".","",".","",".",".",".","."
"Course Total
Clinical Lab Science Practicum","13","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".",".","",".","",".",".",".","."
"620
001
Management Seminar","21","3.762","61.9","28.6","9.5",".",".","",".","",".",".","",".","",".",".",".","",".","",".",".","."
"CLNLABSC
Dept. Total
628","184","3.474","45.7","22.8","27.2","2.7","1.6","",".","",".","",".","",".",".",".","",".","",".",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"628
CLNLABSC","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","11","3.818","81.8",".","18.2",".",".","",".","",".","",".","",".",".",".","",".","",".",".",".","."
"Sophomore","5","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".",".","",".","",".",".",".","."
"Junior","27","3.205","18.5","29.6","40.7","7.4","3.7","",".","",".","",".","",".",".",".","",".","",".",".",".","."
"Senior","124","3.484","42.7","25.0","28.2","2.4","1.6","",".","",".","",".","",".",".",".","",".","",".",".",".","."
"Undergraduates","167","3.449","43.1","23.4","28.7","3.0","1.8","",".","",".","",".","",".",".",".","",".","",".",".",".","."
"Special","17","3.660","70.6","17.6","11.8",".",".","",".","",".","",".","",".",".",".","",".","",".",".",".","."
"Dept. Total","184","3.474","45.7","22.8","27.2","2.7","1.6","",".","",".","",".","",".",".",".","",".","",".",".",".","."
