"MUSIC","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","","",""
"43","003","","122","3.988","97.5","2.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"University Band","Course Total","","336","3.943","91.1","6.3","2.1","0.3",".",".",".",".","0.3",".",".",".",".",".",".","."
"461
Collegium Musicum","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"466
Diction for Singers","001","","13","3.769","69.2","15.4","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"497","007","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"497","053","","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"497","060","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"497","200","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Music","Course Total","","42","3.944","92.9","4.8","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"499","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"499","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","8","3.964","75.0","12.5",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"50
Concert Choir","001","","39","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"52
Women's Chorus","001","","31","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"523
Orchestration I","001","","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"53
Choral Union","001","","42","3.952","95.2",".","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"540
Advanced Pedagogy","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"541
Choral Lit& Perf Prac-Today","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"55
Masters' Singers","001","","43","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"553
Advanced Conducting","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"556
University Opera","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"557
Opera Workshop","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"558
Madrigal Singers","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"56
Chorale","001","","61","4.000","85.2",".",".",".",".",".",".",".",".",".",".",".","14.8",".",".","."
"562
Jazz Ensemble","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"565
Advanced Ensemble-Woodwind","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"567","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"567","003","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"567","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Ensemble-Brass","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"568","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"568","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Ensemble-Percussion","Course Total","","5","***","","","","","","","","","","","","","","","",""
"569","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"569","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"569","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"569","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Ensemble-String","Course Total","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
