"L&S","","","","","","","","","","","","","","","","","","","",""
"INTEGRATED LIBERAL STUDIES Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","","",""
"275
002","16","3.500","50.0","12.5","31.3",".","6.3",".",".",".",".",".",".","",".","",".",".",".","."
"Course Total
Special Topics in ILS","78","3.305","28.2","19.2","41.0","5.1","5.1",".",".","1.3",".",".","",".","",".",".",".",".","."
"338
001
Peer Mentor 1st-Yr Lib Ed Smr","5","***","","","","","","","","","",".",".","",".","",".",".",".","."
"357
001
Peer Mentor Seminar","17","3.912","94.1",".",".","5.9",".",".",".",".",".",".",".","",".","",".",".",".","."
"371
001","8","3.429",".","75.0","12.5",".",".",".",".",".",".",".",".","",".","","12.5",".",".","."
"002
371","19","3.778","68.4","15.8","5.3","5.3",".",".",".",".",".",".",".","",".","",".",".","5.3","."
"Course Total
Interdis in Arts & Humanities","27","3.680","48.1","33.3","7.4","3.7",".",".",".",".",".",".","",".","",".","3.7",".","3.7","."
"400
001
Capstone Integration Seminar","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".","",".","",".",".",".","."
"ILS
Dept. Total
500","1318","3.505","41.7","18.5","14.2","4.4","3.3","0.6","0.4","0.6","0.1","15.6","",".","",".","0.5",".","0.1","0.2"
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","","",""
"Freshmen","565","3.460","33.5","16.5","13.3","4.8","2.5","0.5","0.4","0.7",".","27.4","",".","",".","0.4",".",".","0.2"
"Sophomore","346","3.518","43.9","17.9","15.3","3.5","3.2","0.6","0.6",".",".","14.7","",".","",".","0.3",".",".","."
"Junior","208","3.588","56.3","20.2","13.9","4.3","2.9","0.5","0.5",".","0.5",".","",".","",".","1.0",".",".","."
"Senior","195","3.496","46.2","24.1","15.4","4.6","5.6","1.0",".","2.1",".",".","",".","",".","0.5",".",".","0.5"
"Undergraduates","1314","3.507","41.7","18.6","14.2","4.3","3.2","0.6","0.4","0.6","0.1","15.7","",".","",".","0.5",".",".","0.2"
"Special","4","2.833","25.0",".",".","25.0","25.0",".",".",".",".",".","",".","",".",".",".","25.0","."
"Dept. Total","1318","3.505","41.7","18.5","14.2","4.4","3.3","0.6","0.4","0.6","0.1","15.6","",".","",".","0.5",".","0.1","0.2"
