"PHYSICAL EDUC ACTIVITY PRO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","",""
"Exercise,Nutrition,&Health","100
001","218","2.601","11.9","9.6","24.8","18.3","21.6","8.3","2.8","2.3",".",".",".",".","0.5",".",".","."
"Beginning Swimming","102
001","17","3.625","64.7","23.5",".",".",".",".","5.9","5.9",".",".",".",".",".",".",".","."
"Self-defense&Assault Prevnt","111
001","19","3.763","89.5","5.3",".",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"","125
001","11","",".",".",".",".",".",".",".","90.9",".",".",".",".",".",".","9.1","."
"","125
002","25","",".",".",".",".",".",".",".","76.0",".",".",".",".",".",".","24.0","."
"","125
003","16","",".",".",".",".",".",".",".","93.8",".",".",".",".",".",".","6.3","."
"","125
004","16","4.000","6.3",".",".",".",".",".",".","93.8",".",".",".",".",".",".",".","."
"Adapted Fitness&Pers Traing","Course Total","68","4.000","1.5",".",".",".",".",".",".","86.8",".",".",".",".",".",".","11.8","."
"","127
001","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","127
002","10","3.786","60.0",".",".","10.0",".",".",".","30.0",".",".",".",".",".",".",".","."
"Bowling I","Course Total","21","3.861","71.4","9.5",".","4.8",".",".",".","14.3",".",".",".",".",".",".",".","."
"","129
001","25","3.500","36.0","16.0","36.0",".",".",".",".","12.0",".",".",".",".",".",".",".","."
"","129
002","24","3.417","20.8","25.0","25.0","4.2",".",".",".","25.0",".",".",".",".",".",".",".","."
"","129
003","12","3.875","91.7",".",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Yoga Practice","Course Total","61","3.558","41.0","16.4","24.6","3.3",".",".",".","14.8",".",".",".",".",".",".",".","."
"","130
001","22","3.725","54.5","27.3","4.5","4.5",".",".",".","4.5","4.5",".",".",".",".",".",".","."
"","130
002","26","3.870","73.1","11.5",".","3.8",".",".",".","7.7","3.8",".",".",".",".",".",".","."
"Running (Aerobic Fitness)","Course Total","48","3.802","64.6","18.8","2.1","4.2",".",".",".","6.3","4.2",".",".",".",".",".",".","."
"","131
001","26","3.382","30.8","19.2","3.8","7.7",".",".","3.8","34.6",".",".",".",".",".",".",".","."
"","131
002","29","3.804","62.1","31.0","3.4",".",".",".",".","3.4",".",".",".",".",".",".",".","."
"","131
003","22","3.632","31.8","45.5","9.1",".",".",".",".","13.6",".",".",".",".",".",".",".","."
"Cross Traing-Basic Fitness","Course Total","77","3.641","42.9","31.2","5.2","2.6",".",".","1.3","16.9",".",".",".",".",".",".",".","."
"","132
001","23","3.600","39.1","4.3","17.4","4.3",".",".",".","30.4",".",".",".",".","4.3",".",".","."
"","132
002","18","3.654","27.8","38.9","5.6",".",".",".",".","22.2",".",".",".",".",".",".",".","5.6"
"","132
003","20","3.375","30.0","30.0","15.0",".",".",".","5.0","15.0","5.0",".",".",".",".",".",".","."
"","132
004","18","3.773","44.4","5.6","11.1",".",".",".",".","38.9",".",".",".",".",".",".",".","."
"","132
005","25","3.705","44.0","40.0",".","4.0",".",".",".","8.0",".",".",".",".","4.0",".",".","."
"","132
006","24","3.935","83.3","12.5",".",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"","132
007","22","3.833","63.6","9.1","9.1",".",".",".",".","18.2",".",".",".",".",".",".",".","."
"","132
008","27","3.654","44.4","37.0","14.8",".",".",".",".",".",".",".",".",".","3.7",".",".","."
"Weight Training","Course Total","177","3.701","48.0","22.6","9.0","1.1",".",".","0.6","15.8","0.6",".",".",".","1.7",".",".","0.6"
"","133
001","28","3.778","67.9","21.4","3.6",".","3.6",".",".","3.6",".",".",".",".",".",".",".","."
"","133
002","27","3.780","63.0","22.2","3.7","3.7",".",".",".","3.7",".",".",".",".","3.7",".",".","."
"","003
133","19","3.536","21.1","42.1","5.3","5.3",".",".",".","26.3",".",".",".",".",".",".",".","."
"Rhythmic/Step Aerobics","Course Total","74","3.727","54.1","27.0","4.1","2.7","1.4",".",".","9.5",".",".",".",".","1.4",".",".","."
"","134
001","19","3.667","52.6","26.3","10.5","5.3",".",".",".","5.3",".",".",".",".",".",".",".","."
"","134
002","23","3.932","82.6","13.0",".",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"","134
003","24","3.477","33.3","25.0","29.2","4.2",".",".",".","4.2",".",".",".",".",".",".",".","4.2"
"Relaxation Tech & Exercise","Course Total","66","3.694","56.1","21.2","13.6","3.0",".",".",".","4.5",".",".",".",".",".",".",".","1.5"
"","138
001","14","3.667","14.3","28.6",".",".",".",".",".","57.1",".",".",".",".",".",".",".","."
"","138
002","15","3.917","33.3","6.7",".",".",".",".",".","60.0",".",".",".",".",".",".",".","."
"","138
003","16","3.250","12.5","18.8","18.8","12.5",".",".",".","25.0","12.5",".",".",".",".",".",".","."
"","138
004","12","3.643","33.3","8.3","16.7",".",".",".",".","33.3","8.3",".",".",".",".",".",".","."
"","138
005","18","3.600","27.8","16.7","5.6","5.6",".",".",".","44.4",".",".",".",".",".",".",".","."
