"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","",""
"Hum Sexuality-Soc,Psych Iss","160
001","190","2.844","16.3","16.3","25.8","16.8","18.9","3.2","2.1",".",".",".",".",".",".",".",".","0.5"
"","201
001","15","2.567","13.3",".","13.3","33.3","40.0",".",".",".",".",".",".",".",".",".",".","."
"","002
201","105","2.752","17.1","16.2","16.2","20.0","21.9","7.6","1.0",".",".",".",".",".",".",".",".","."
"Introduction to Psychology","Course Total","120","2.729","16.7","14.2","15.8","21.7","24.2","6.7","0.8",".",".",".",".",".",".",".",".","."
"","202
001","302","2.766","16.2","17.9","13.9","24.5","19.9","3.6","3.0",".","0.3",".",".",".","0.3",".","0.3","."
"","202
002","173","2.408","12.1","9.8","17.3","9.8","31.8","12.1","4.6","1.2",".",".",".",".",".","1.2",".","."
"","202
003","336","2.791","17.6","17.3","12.5","25.9","18.8","6.3","0.9","0.6",".",".",".",".",".",".","0.3","."
"","202
004","241","2.860","22.0","11.6","22.8","15.4","21.6","5.0","0.8","0.8",".",".",".",".",".",".",".","."
"","202
005","330","2.609","16.4","13.0","14.8","12.7","31.2","10.3","1.2",".","0.3",".",".",".",".",".",".","."
"Introduction to Psychology","Course Total","1382","2.707","17.1","14.5","15.8","18.6","24.1","7.2","1.9","0.4","0.1",".",".",".","0.1","0.1","0.1","."
"","210
001","62","2.500","11.3","6.5","29.0","17.7","17.7","11.3","4.8","1.6",".",".",".",".",".",".",".","."
"","210
002","55","2.773","18.2","5.5","29.1","10.9","34.5","1.8",".",".",".",".",".",".",".",".",".","."
"","210
003","55","2.773","18.2","5.5","29.1","10.9","34.5","1.8",".",".",".",".",".",".",".",".",".","."
"","210
004","54","2.906","18.5","5.6","44.4","5.6","20.4","3.7",".","1.9",".",".",".",".",".",".",".","."
"","210
005","51","2.686","17.6","3.9","29.4","11.8","31.4","3.9","2.0",".",".",".",".",".",".",".",".","."
"Basic Stats for Psychology","Course Total","277","2.722","16.6","5.4","32.1","11.6","27.4","4.7","1.4","0.7",".",".",".",".",".",".",".","."
"","211
001","20","3.525","55.0","15.0","15.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","211
002","18","3.389","38.9","33.3","22.2",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"Freshman Seminar in Psychology","Course Total","38","3.461","47.4","23.7","18.4","5.3","2.6",".","2.6",".",".",".",".",".",".",".",".","."
"","225
001","45","2.988","13.3","22.2","33.3","11.1","13.3",".","2.2",".",".",".",".",".","4.4",".",".","."
"","002
225","46","2.889","15.2","19.6","32.6","6.5","17.4","4.3","2.2",".",".",".",".",".","2.2",".",".","."
"","225
003","46","3.076","15.2","28.3","28.3","13.0","15.2",".",".",".",".",".",".",".",".",".",".","."
"","225
004","49","3.071","10.2","32.7","34.7","14.3","6.1",".","2.0",".",".",".",".",".",".",".",".","."
"Experimental Psychology","Course Total","186","3.008","13.4","25.8","32.3","11.3","12.9","1.1","1.6",".",".",".",".",".","1.6",".",".","."
"Honors Basic Stats for Psych","280
001","14","3.536","57.1","7.1","28.6",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Honors Crse-Intro to Psych","281
001","20","3.425","40.0","30.0","20.0","5.0",".","5.0",".",".",".",".",".",".",".",".",".","."
"","311
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
002","103","3.578","55.3","20.4","15.5","1.0","5.8","1.0",".","1.0",".",".",".",".",".",".",".","."
"Issues in Psychology","Course Total","120","3.630","61.7","17.5","13.3","0.8","5.0","0.8",".","0.8",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","386
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","386
003","14","3.750","71.4","7.1","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Psych for Honors","Course Total","26","3.865","84.6","3.8","11.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
025","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
033","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
042","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
074","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Service Learning in Psychology","Course Total","25","3.964","92.0",".",".","4.0",".",".",".",".",".",".",".",".","4.0",".",".","."
"Intermed Stats for Psychology","410
001","15","3.667","53.3","26.7","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","411
001","25","3.771","52.0","44.0",".",".",".",".",".",".",".",".",".",".","4.0",".",".","."
"","411
002","26","3.462","23.1","46.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 24, 2011","","","","","","","","","","","","","","","","","","Page 285 of 402",""
