"LATIN (CLASSICS)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"524
LATIN","","","","","","","","","","","","","","","","","","",""
"","103
001","17","3.265","58.8","17.6","5.9",".",".","11.8","5.9",".",".",".",".",".",".",".",".","."
"","103
002","17","3.875","70.6","23.5",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","103
003","20","3.375","50.0","25.0","5.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".","."
"","103
004","16","3.063","43.8","25.0","12.5",".",".","6.3","12.5",".",".",".",".",".",".",".",".","."
"","103
005","14","3.429","35.7","35.7","7.1","21.4",".",".",".",".",".",".",".",".",".",".",".","."
"","103
007","20","3.350","45.0","30.0",".","20.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"","103
008","14","3.464","57.1","14.3","14.3","7.1",".","7.1",".",".",".",".",".",".",".",".",".","."
"Elementary Latin","Course Total","118","3.397","51.7","24.6","5.9","8.5",".","5.1","3.4","0.8",".",".",".",".",".",".",".","."
"","203
001","25","3.760","64.0","24.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
002","21","3.476","57.1","9.5","19.0","9.5",".","4.8",".",".",".",".",".",".",".",".",".","."
"Intermediate Latin","Course Total","46","3.630","60.9","17.4","15.2","4.3",".","2.2",".",".",".",".",".",".",".",".",".","."
"Latin Lit of Roman Republic","301
001","20","3.600","50.0","30.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Elem Prose Composition","505
001","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Roman Elegy","521
001","19","3.579","73.7","10.5","5.3",".","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"","699
014","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
042","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","6","3.938","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","890
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","890
014","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research Thesis","Course Total","3","***","","","","","","","","","","","","","","","",""
"Seminar-Philosophy","940
001","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"LATIN
524","Dept. Total","231","3.514","56.3","22.5","7.8","6.1","0.4","3.0","2.2","1.7",".",".",".",".",".",".",".","."
