"COMMUNICATION ARTS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"New Media and Society","459
001","","42","3.369","16.7","42.9","38.1","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"Avant-Garde Film","463
001","","14","3.708","57.1","14.3","7.1","7.1",".",".",".",".",".",".",".",".","7.1","7.1",".","."
"","467
001","","15","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
467","","15","3.133","20.0","13.3","53.3",".","13.3",".",".",".",".",".",".",".",".",".",".","."
"Cinematography & Sound Rcrdng","Course Total","","30","3.317","26.7","23.3","43.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Contemp Political Discourse","470
001","","114","3.434","14.9","64.9","13.2","3.5","2.6",".",".","0.9",".",".",".",".",".",".",".","."
"Nature of Criticism","476
001","","23","3.500","39.1","30.4","21.7","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"Classical Rhetorical Theory","570
001","","11","3.636","63.6","9.1","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Communicatn in Complex Orgs","575
001","","25","3.460","32.0","36.0","28.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"","609
001","","16","3.500","31.3","50.0","6.3","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","609
002","","11","3.636","54.5","27.3","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","609
003","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Production","Course Total","","33","3.636","51.5","33.3","6.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","610
001","","20","3.500","30.0","45.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","610
002","","13","3.500","46.2","15.4","7.7","7.7","7.7",".",".",".",".",".",".",".","15.4",".",".","."
"Topics-Rhetoric&Pub Address","Course Total","","33","3.500","36.4","33.3","15.2","6.1","3.0",".",".",".",".",".",".",".","6.1",".",".","."
"Topics-Communicatn Science","612
001","","13","3.500","30.8","46.2","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","613
001","","20","3.421","20.0","40.0","35.0",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"","613
002","","15","3.433","40.0","26.7","20.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","613
003","","23","3.565","39.1","39.1","17.4","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Topics; Broadcasting & Film","Course Total","","58","3.482","32.8","36.2","24.1","3.4","1.7",".",".",".",".",".",".",".","1.7",".",".","."
"","614
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614
008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","614
017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614
018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614
023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614
028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614
030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614
031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614
033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","614
039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Exper in Communicatn","Course Total","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","615
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","615
012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","615
017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","615
029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","615
035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Secnd Fld Exp-Communication","Course Total","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Adv Video Productn&Directn","651
001","","29","3.482","20.7","51.7","24.1",".",".",".",".",".",".",".",".",".","3.4",".",".","."
"Classical Film Theory","664
001","","14","3.192","50.0",".","21.4","7.1","7.1",".","7.1","7.1",".",".",".",".",".",".",".","."
"Communicatn&Social Conflict","671
001","","22","3.159","27.3","40.9","13.6",".","9.1","4.5","4.5",".",".",".",".",".",".",".",".","."
"","699
006","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
028","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
033","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 24, 2011","","","","","","","","","","","","","","","","","","","Page 183 of 402",""
