"PHYSICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","","",""
"499","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"525
Introduction to Plasmas","001","","13","3.000","23.1","15.4","38.5","15.4",".",".","7.7",".",".",".",".",".",".",".",".","."
"527
Plasma Confinement&Heating","001","","11","3.591","18.2","81.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"535
Intro-Particle Physics","001","","10","3.600","50.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"551
Solid State Physics","001","","30","3.776","63.3","23.3","10.0",".",".",".",".","3.3",".",".",".",".",".",".",".","."
"623
Electronic Aids to Measmnt","001","","15","3.536","40.0","20.0","33.3",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"681","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"691","087","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"692
Senior Thesis","097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"711
Theoreticl Physics-Dynamics","001","","28","3.768","53.6","46.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"715
Statistical Mechanics","001","","31","3.823","74.2","16.1","9.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"721
Theor Physics-Electrodynmcs","001","","33","3.485","39.4","18.2","42.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"726
Plasma Magnetohydrodynamics","001","","10","3.500","40.0","20.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"731
Quantum Mechanics","001","","39","3.526","30.8","43.6","25.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"735
Particle Physics","001","","17","3.765","58.8","35.3","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"748
Linear Waves","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"801
Topics-Theoretical Physics","001","","10","3.731","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"805
Special Topics in Physics","001","","12","3.931","75.0",".","16.7",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"831
Advanced Quantum Mechanics","001","","16","3.344","12.5","43.8","43.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"835
Collider Phys Phenomenology","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900
Colloquium","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922
Seminar in Plasma Physics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"951
Smr-Solid State Physics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 24, 2011","","","","","","","","","","","","","","","","","","","Page 277 of 402",""
