"IES","","","","","","","","","","","","","","","","","","","",""
"ENVIR ST - GAYLORD NELSON I","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"ENVIR ST
360","Dept. Total","1533","3.289","36.4","18.9","19.9","5.2","8.0","1.4","0.8","4.1","0.1","3.5","",".","1.0","0.7","0.2",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","93","3.181","19.4","31.2","30.1","7.5","9.7","1.1",".",".",".",".","",".",".",".","1.1",".","."
"Sophomore","","206","2.991","23.3","22.3","20.4","10.7","18.9","2.9","1.0","0.5",".",".","",".",".",".",".",".","."
"Junior","","287","3.146","27.5","23.3","27.5","7.0","10.5","1.4","1.7",".",".",".","",".",".","0.7","0.3",".","."
"Senior","","591","3.353","42.5","18.1","22.7","4.9","6.9","1.7","0.7","1.5",".",".","",".",".","0.8","0.2",".","."
"Undergraduates","","1177","3.220","33.6","21.2","24.0","6.6","10.1","1.8","0.9","0.8",".",".","",".",".","0.6","0.3",".","."
"Special","","28","3.087","35.7","10.7","21.4","3.6","7.1",".","7.1","14.3",".",".","",".",".",".",".",".","."
"Graduate","","322","3.786","46.0","11.5","5.0",".","0.3",".",".","14.6","0.3","16.8","",".","4.7","0.9",".",".","."
"Prof Yr 2","","1","",".",".",".",".",".",".",".","100.0",".",".","",".",".",".",".",".","."
"Prof Yr 3","","4","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Prof Yr 4","","1","",".",".",".",".",".",".",".","100.0",".",".","",".",".",".",".",".","."
"Professionals","","6","4.000","66.7",".",".",".",".",".",".","33.3",".",".","",".",".",".",".",".","."
"","Dept. Total","1533","3.289","36.4","18.9","19.9","5.2","8.0","1.4","0.8","4.1","0.1","3.5","",".","1.0","0.7","0.2",".","."
