"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","","",""
"BUS","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TRANSPORTATION AND PUBLIC  Section","#","","Ave","A","AB","","B","BC","","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"243
TRAN P U","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"325
001","","2","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"325
002","","6","3.000","16.7",".","","66.7",".","","16.7",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"Course Total
Public Utilities","","8","3.250","37.5","",".","50.0","",".","12.5","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"725
001","","7","4.000","100.0",".","",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"725
002","","6","4.000","100.0",".","",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"Course Total
Public Utilities","","13","4.000","100.0","",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"TRAN P U
Dept. Total
243","","21","3.714","76.2","",".","19.0","",".","4.8","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","#","","Ave","A","AB","","B","BC","","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"243
TRAN P U","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","2","3.500","50.0","",".","50.0","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","6","3.167","33.3","",".","50.0","",".","16.7","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","8","3.250","37.5","",".","50.0","",".","12.5","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","13","4.000","100.0","",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Dept. Total","","21","3.714","76.2","",".","19.0","",".","4.8","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
