"","990
064","1","***","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
088","1","***","","","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","17","",".",".",".",".",".",".","",".","64.7","",".",".",".","35.3",".",".",".","."
"Advanced Independent Study","999
027","1","***","","","","","","","","","","","",".",".",".",".",".",".","."
"B M E
207","Dept. Total","571","3.643","39.9","21.4","13.0","1.8","0.4","0.2","",".","11.0","",".","5.8",".","6.3","0.2",".","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"207
B M E","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","13","3.639","30.8","38.5","30.8",".",".",".","",".",".","",".",".",".",".",".",".",".","."
"Junior","","87","3.559","40.2","34.5","17.2","4.6",".",".","",".",".","",".","3.4",".",".",".",".",".","."
"Senior","","271","3.677","50.9","23.2","12.9","1.1","0.7","0.4","",".",".","",".","10.7",".",".",".",".",".","."
"Undergraduates","","371","3.653","47.7","26.4","14.6","1.9","0.5","0.3","",".",".","",".","8.6",".",".",".",".",".","."
"Special","","10","3.563","30.0","30.0","20.0",".",".",".","",".","10.0","",".","10.0",".",".",".",".",".","."
"Graduate","","218","3.622","21.6","9.6","7.8","1.4",".",".","",".","27.5","",".","15.6",".","15.6","0.5",".","0.5","."
"Prof Yr 2","","5","3.500","20.0",".","20.0",".",".",".","",".",".","",".","40.0",".","20.0",".",".",".","."
"Prof Yr 3","","3","",".",".",".",".",".",".","",".","66.7","",".",".",".","33.3",".",".",".","."
"Prof Yr 4","","1","",".",".",".",".",".",".","",".","100.0","",".",".",".",".",".",".",".","."
"Professionals","","9","3.500","11.1",".","11.1",".",".",".","",".","33.3","",".","22.2",".","22.2",".",".",".","."
"","Dept. Total","608","3.643","37.5","20.1","12.2","1.6","0.3","0.2","",".","10.5","",".","11.3",".","5.9","0.2",".","0.2","."
