"MICROBIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","",""
"","1
051","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","1
072","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Cooperative Educ-Microbiology","Course Total","2","***","","","","","","","","","","","","","","","",""
"General Microbiology","101
001","209","2.871","14.8","20.1","25.8","16.3","17.7","3.8","1.4",".",".",".",".",".",".",".",".","."
"","102
001","38","3.789","68.4","21.1","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","36","3.722","58.3","36.1",".","2.8","2.8",".",".",".",".",".",".",".",".",".",".","."
"","003
102","36","3.819","72.2","19.4","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"General Microbiology Lab","Course Total","110","3.777","66.4","25.5","6.4","0.9","0.9",".",".",".",".",".",".",".",".",".",".","."
"","299
006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
058","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
061","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
073","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","10","3.675","70.0","10.0",".",".","10.0",".",".",".",".",".",".",".","10.0",".",".","."
"Biology of Microorganisms","303
001","288","2.760","18.8","8.7","23.6","8.7","37.2","2.8",".","0.3",".",".",".",".",".",".",".","."
"","304
001","39","3.179","28.2","15.4","41.0","5.1","7.7",".","2.6",".",".",".",".",".",".",".",".","."
"","304
002","39","3.346","25.6","25.6","43.6","2.6","2.6",".",".",".",".",".",".",".",".",".",".","."
"","304
003","39","3.154","25.6","17.9","33.3","12.8","7.7","2.6",".",".",".",".",".",".",".",".",".","."
"","304
004","37","3.250","24.3","18.9","40.5","8.1","5.4",".",".",".",".",".",".",".","2.7",".",".","."
"Biology of Microorganisms Lab","Course Total","154","3.232","26.0","19.5","39.6","7.1","5.8","0.6","0.6",".",".",".",".",".","0.6",".",".","."
"","305
001","14","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
002","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
003","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
004","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Critical Analyses-Microbiology","Course Total","56","3.973","96.4","1.8","1.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Food Microbiology Laboratory","324
001","26","3.077","23.1","3.8","57.7","3.8","7.7","3.8",".",".",".",".",".",".",".",".",".","."
"Food Microbiology","325
001","55","2.778","12.7","14.5","29.1","14.5","20.0","7.3",".","1.8",".",".",".",".",".",".",".","."
"Micro Genetics & Mol Machines","470
001","42","3.113","33.3","9.5","19.0","21.4","9.5",".","2.4",".",".",".",".",".","4.8",".",".","."
"Soil Microbiology & Biochem","523
001","7","3.143","28.6","28.6","14.3",".","28.6",".",".",".",".",".",".",".",".",".",".","."
"Physiol of Microorganisms","526
001","62","2.782","17.7","21.0","25.8","9.7","9.7","12.9","3.2",".",".",".",".",".",".",".",".","."
"","527
001","19","3.237","5.3","42.1","47.4","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","527
002","20","3.375","40.0","25.0","15.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","527
003","19","2.947","5.3","36.8","31.6","15.8","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"Physiol-Microorganisms Lab","Course Total","58","3.190","17.2","34.5","31.0","10.3","5.2",".","1.7",".",".",".",".",".",".",".",".","."
"Immunology","528
001","47","3.266","34.0","8.5","36.2","19.1","2.1",".",".",".",".",".",".",".",".",".",".","."
"Advanced Microbial Genetics","607
001","18","3.722","61.1","22.2","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prokaryotic Molecular Biol","612
001","20","3.500","40.0","25.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","5.0"
"Advanced Microbial Physiology","625
001","14","3.821","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gen Virology-Multiplication","640
001","27","3.019","25.9","22.2","29.6","3.7","7.4","7.4","3.7",".",".",".",".",".",".",".",".","."
"","681
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
064","1","***","","","","","","","","","",".",".",".",".",".",".","."
