"GEOLOGICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"418
G L E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"291
Prob Solv Using Cmptr Tools","001","","10","2.800",".","30.0","40.0","10.0","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"330
Soil Mechanics","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"401
Topics-Geological Engr","001","","10","3.063","10.0","10.0","40.0","20.0",".",".",".","10.0",".",".",".",".","10.0",".",".","."
"531
Retaining Structures","001","","6","3.500","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"594
Intro to Applied Geophysics","001","","11","3.182","45.5","9.1","9.1","9.1","27.3",".",".",".",".",".",".",".",".",".",".","."
"595
Fld Meth-Appl&Engr Geophysics","001","","6","3.600","66.7",".",".",".","16.7",".",".","16.7",".",".",".",".",".",".",".","."
"627
Hydrogeology","001","","16","3.531","31.3","43.8","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"633
Waste Geotechnics","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699
Independent Study","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","072","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","","10","",".",".",".",".",".",".",".","80.0",".",".",".","10.0","10.0",".",".","."
"890
Pre-Dissertator's Research","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
