"FINANCE, INVESTMENT & BANKI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","","",""
"970
Seminar-Investments (Ph.D.)","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"972
Topics Seminar-Finance PhD","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"973
Seminar-Workshop in Finance","001","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","115","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Finance","Course Total","","4","***","","","","","","","","","","","","","","","",""
"999","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Finance PhD","Course Total","","4","***","","","","","","","","","","","","","","","",""
