"","569
001","","1","***","","","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","569
002","","1","***","","","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","569
003","","1","***","","","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Research Pract-Engr Physics II","Course Total","","3","***","","","","","","","","","","","","","","","","","","","","","","","","",""
"E P
347","Dept. Total","","10","3.778","30.0","20.0","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","50.0",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"347
E P","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","1","4.000","100.0",".","",".","",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","","","8","3.786","25.0","12.5","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","62.5",".",".","."
"Undergraduates","","","9","3.813","33.3","11.1","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","55.6",".",".","."
"Graduate","","","1","3.500",".","100.0","",".","",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","","10","3.778","30.0","20.0","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","50.0",".",".","."
