"INTEGRATED LIBERAL STUDIES Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","",""
"138
001","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"138
002","8","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"138
003","9","3.500","44.4","22.2","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"138
004","11","3.727","63.6","27.3",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"138
005","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"138
006","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Course Total
CRC 1st Yr Smr: Lib Arts Educ","58","3.741","62.1","27.6","6.9","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"150
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"150
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"150
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"150
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"150
007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"150
009","4","***","","","","","","","","","",".",".",".",".",".",".","."
"150
010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"150
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"150
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Ways of Knowing","17","3.846","58.8","11.8","5.9",".",".",".",".","23.5",".",".",".",".",".",".",".","."
"157
001","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
002","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
003","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
004","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
006","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
007","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
008","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
009","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
010","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
011","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
012","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
013","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
014","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
015","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
016","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
017","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
018","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Bradley Roundtable Seminar","206","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"199
062
Directed Study","1","***","","","","","","","","","",".",".",".",".",".",".","."
"200
001
Critical Thinkng & Expressn","76","3.842","80.3","13.2","2.6","2.6","1.3",".",".",".",".",".",".",".",".",".",".","."
"201
001
W Culture:Sci,Tech,Philos I","181","3.293","27.6","35.4","16.0","9.9","3.9","1.7","1.7","0.6",".",".",".",".","2.8",".",".","0.6"
"202
001
W Culture:Sci,Tech,Phil II","77","3.240","27.3","29.9","22.1","11.7","2.6","1.3","2.6",".","1.3",".",".",".",".",".",".","1.3"
"203
001
West Culture:Lit&The Arts I","119","3.571","56.3","20.2","12.6","6.7","2.5","1.7",".",".",".",".",".",".",".",".",".","."
"205
001
W Cult:Pol,Econ&Soc Thght I","118","3.233","15.3","39.0","29.7","11.0","4.2","0.8",".",".",".",".",".",".",".",".",".","."
"209
001
Intro to Global Cultures","227","3.896","82.8","12.8","4.0",".",".",".",".","0.4",".",".",".",".",".",".",".","."
"252
001
Contemporary Life Sciences","100","3.111","31.0","6.0","40.0",".","21.0","1.0",".","1.0",".",".",".",".",".",".",".","."
"275
001","62","3.254","22.6","21.0","43.5","6.5","4.8",".",".","1.6",".",".",".",".",".",".",".","."
