"PHM","","","","","","","","","","","","","","","","","","","","",""
"PHARMACY PRACTICE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","","",""
"PHM PRAC
728","Dept. Total","1132","3.668","60.9","19.9","11.8","4.1","1.9","0.5","0.1","0.1","",".",".","",".",".","0.6",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","54","3.037","22.2","18.5","29.6","11.1","14.8","3.7",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","25","3.160","32.0","32.0","8.0","8.0","16.0",".","4.0",".","",".",".","",".",".",".",".",".","."
"Junior","","28","3.526","53.6","7.1","28.6","10.7",".",".",".",".","",".",".","",".",".",".",".",".","."
"Senior","","12","3.652","66.7",".","16.7",".","8.3",".",".","8.3","",".",".","",".",".",".",".",".","."
"Undergraduates","","119","3.239","36.1","16.8","23.5","9.2","10.9","1.7","0.8","0.8","",".",".","",".",".",".",".",".","."
"Graduate","","25","3.779","72.0","16.0","12.0",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 1","","136","3.878","80.9","14.0","3.7",".","0.7",".",".",".","",".",".","",".",".","0.7",".",".","."
"Prof Yr 2","","271","3.650","68.6","21.0","5.5","1.8","0.7","1.5",".",".","",".",".","",".",".","0.7",".",".","."
"Prof Yr 3","","450","3.434","30.7","18.9","14.9","5.3","0.9",".",".",".","",".",".","",".","29.1",".",".","0.2","."
"Prof Yr 4","","263","3.808","73.8","15.2","6.1","2.3","0.8",".",".",".","",".",".","",".",".","1.5",".","0.4","."
"Professionals","","1120","3.694","56.1","17.9","9.2","3.1","0.8","0.4",".",".","",".",".","",".","11.7","0.6",".","0.2","."
"","Dept. Total","1264","3.668","54.5","17.8","10.6","3.6","1.7","0.5","0.1","0.1","",".",".","",".","10.4","0.6",".","0.2","."
