"NUTRITIONAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","",""
"132","001","","411","2.869","15.8","16.1","26.3","16.1","22.6","3.2",".",".",".",".",".",".",".",".",".","."
"132","002","","438","2.702","12.8","11.2","24.9","18.0","27.2","4.6","0.9","0.5",".",".",".",".",".",".",".","."
"132","003","","128","2.679","11.7","12.5","21.1","16.4","28.9","4.7","0.8","1.6","0.8",".",".",".","0.8","0.8",".","."
"Nutrition Today","Course Total","","977","2.770","13.9","13.4","25.0","17.0","25.5","4.0","0.5","0.4","0.1",".",".",".","0.1","0.1",".","."
"299","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","015","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","065","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","18","3.850","77.8",".","5.6",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"332
Human Nutritional Needs","001","","72","3.243","31.9","20.8","23.6","6.9","12.5","1.4",".",".",".",".",".",".","2.8",".",".","."
"375
Special Topics","001","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"499","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Capstone in Nutrition","Course Total","","2","***","","","","","","","","","","","","","","","",""
"500
Undergrad Capstone Seminar Lab","001","","35","3.629","65.7",".","31.4",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"510
Biochm Prin-Human&Anml Nutr","001","","46","3.337","30.4","30.4","21.7","10.9","6.5",".",".",".",".",".",".",".",".",".",".","."
"520
Applications-Clin Nutrition","001","","14","3.750","57.1","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"600
Intro Seminar in Nutrition","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"623
Adv Nutrition: Minerals","001","","21","3.571","57.1",".","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"631
Clinical Nutrition","001","","59","3.263","25.4","28.8","35.6",".","6.8","3.4",".",".",".",".",".",".",".",".",".","."
"635
Advanced Clinical Nutrition","001","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"691
Senior Thesis-Nutrition","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","2","***","","","","","","","","","","","","","","","",""
"799","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Nutri Sciences Tchg","Course Total","","3","***","","","","","","","","","","","","","","","",""
"931
Seminar-Nutrition","001","","21","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"991","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"991","008","","6","",".",".",".",".",".",".",".","83.3",".",".",".","16.7",".",".",".","."
"991","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","016","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"991","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 24, 2011","","","","","","","","","","","","","","","","","","","","Page 36 of 402"
