"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"BIOCHEM","","","","","","","","","","","","","","","","","","","",""
"Freshmen","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","23","3.744","65.2","4.3","8.7",".","4.3",".",".",".","",".",".","",".",".","4.3",".","13.0","."
"Junior","319","3.253","39.5","12.2","26.3","8.5","11.6","0.9",".",".","",".",".","",".",".","0.6",".","0.3","."
"Senior","519","3.208","36.8","12.1","24.7","6.4","12.5","1.3","0.8","0.2","",".",".","",".","3.1","1.5",".","0.4","0.2"
"Undergraduates","863","3.236","38.7","11.9","24.8","7.0","11.9","1.2","0.5","0.1","",".",".","",".","1.9","1.3",".","0.7","0.1"
"Special","27","3.204","25.9","33.3","14.8","7.4","18.5",".",".",".","",".",".","",".",".",".",".",".","."
"Graduate","504","3.614","49.0","10.9","12.7","0.2","1.4",".",".","12.3","",".",".","",".","13.5",".",".",".","."
"Prof Yr 2","5","3.813","60.0","20.0",".",".",".",".",".","20.0","",".",".","",".",".",".",".",".","."
"Prof Yr 3","9","4.000","55.6",".",".",".",".",".",".","33.3","",".",".","",".","11.1",".",".",".","."
"Prof Yr 4","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","15","3.917","60.0","6.7",".",".",".",".",".","26.7","",".",".","",".","6.7",".",".",".","."
