"","765
001","","3","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","765
003","","7","3.929","85.7","14.3",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"","765
004","","2","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Contemporary Topics","Course Total","","12","3.958","91.7","8.3",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"INFO SYS
234","Dept. Total","","56","3.661","53.6","30.4","12.5","1.8","1.8","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"234
INFO SYS","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","2","3.500",".","100.0",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","11","3.727","45.5","54.5",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","23","3.522","43.5","21.7","30.4","4.3",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","36","3.583","41.7","36.1","19.4","2.8",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","","1","2.000",".",".",".",".","100.0","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","19","3.895","78.9","21.1",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","56","3.661","53.6","30.4","12.5","1.8","1.8","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
