"ANATOMY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"144
ANATOMY","","","","","","","","","","","","","","","","","","","",""
"328
Human Anatomy","001","","548","3.449","56.8","13.0","13.7","4.7","6.9","3.3","0.9","0.5",".",".",".",".","0.2",".",".","."
"329","001","","59","3.627","64.4","15.3","8.5","5.1","6.8",".",".",".",".",".",".",".",".",".",".","."
"329","002","","58","3.603","58.6","22.4","5.2","8.6","5.2",".",".",".",".",".",".",".",".",".",".","."
"329","003","","60","3.542","55.0","15.0","23.3","3.3",".","3.3",".",".",".",".",".",".",".",".",".","."
"Human Anatomy-Kinesiology","Course Total","","177","3.590","59.3","17.5","12.4","5.6","4.0","1.1",".",".",".",".",".",".",".",".",".","."
"637
Functional Neuroanatomy","001","","68","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"675","004","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Anatomy","Course Total","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","062","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"710
Cell Structure and Function","001","","172","",".",".",".",".",".",".",".","98.8",".",".",".",".",".",".",".","1.2"
"722
Clinicl Anatomy & Radiology","004","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"725
Muscle Biology","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
