"","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"999","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","032","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".",".",".","12.5","."
"999","047","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"999","052","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","056","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"999","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","067","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","070","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","072","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","080","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","152","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Course Total","","58","4.000","72.4",".",".",".",".",".",".","12.1",".",".",".",".","5.2",".","10.3","."
