"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","",""
"LAW","","","","","","","","","","","","","","","","","","","","",""
"LAW","College Total","1919","1.315","10.1","0.4","18.7",".","3.0","0.4","0.2","18.7","",".",".",".","",".","0.5",".","0.1","1.5"
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","NW","NR","Other"
"LAW","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"Senior","","3","3.333","66.7",".",".",".","33.3",".",".",".","",".",".",".","",".",".",".",".","."
"Undergraduates","","3","3.333","66.7",".",".",".","33.3",".",".",".","",".",".",".","",".",".",".",".","."
"Special","","36","1.194","2.8","8.3","19.4",".",".",".",".","13.9","",".",".",".","",".","2.8",".",".","."
"Graduate","","14","3.770","64.3","21.4","14.3",".",".",".",".",".","",".",".",".","",".",".",".",".","."
"Prof Yr 1","","642","1.297","9.3",".","26.8",".","4.7","0.2",".","1.2","",".",".",".","",".","0.5",".",".","."
"Prof Yr 2","","634","1.267","7.6",".","15.5",".","3.0","0.5","0.2","29.5","",".",".",".","",".","0.5",".","0.3","3.2"
"Prof Yr 3","","496","1.257","11.1",".","12.7",".","1.2","0.8","0.4","30.4","",".",".",".","",".","0.6",".",".","1.8"
"Prof Yr 4","","94","1.466","19.1","1.1","18.1",".","2.1",".",".","8.5","",".",".",".","",".",".",".",".","."
"Professionals","","1866","1.290","9.7","0.1","18.8",".","3.1","0.4","0.2","19.0","",".",".",".","",".","0.5",".","0.1","1.6"
"","College Total","1919","1.315","10.1","0.4","18.7",".","3.0","0.4","0.2","18.7","",".",".",".","",".","0.5",".","0.1","1.5"
