"","999
025","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
028","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
038","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Research","Course Total","6","4.000","83.3",".",".",".",".",".","",".",".","",".",".","",".",".",".",".","16.7","."
"L SC COM
120","Dept. Total","504","3.782","72.4","13.1","5.2","1.6","1.2","1.2","",".","1.8","",".","1.2","",".","0.2","1.6","0.2","0.4","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"120
L SC COM","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","112","3.719","72.3","16.1","4.5","2.7","1.8","2.7","",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","33","3.842","78.8","12.1","3.0",".","3.0",".","",".",".","",".",".","",".",".","3.0",".",".","."
"Junior","","96","3.790","71.9","15.6","9.4","2.1",".",".","",".",".","",".",".","",".",".","1.0",".",".","."
"Senior","","183","3.756","72.7","13.1","5.5","1.6","1.6","1.6","",".",".","",".",".","",".",".","3.3","0.5",".","."
"Undergraduates","","424","3.760","72.9","14.4","5.9","1.9","1.4","1.4","",".",".","",".",".","",".",".","1.9","0.2",".","."
"Special","","6","3.917","83.3","16.7",".",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Graduate","","74","3.946","68.9","5.4","1.4",".",".",".","",".","12.2","",".","8.1","",".","1.4",".",".","2.7","."
"","Dept. Total","504","3.782","72.4","13.1","5.2","1.6","1.2","1.2","",".","1.8","",".","1.2","",".","0.2","1.6","0.2","0.4","."
