"SOCIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"Directed Study","Course Total","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"699","016","","135","3.996","96.3","0.7",".",".",".",".",".",".",".",".",".",".","1.5",".","1.5","."
"699","026","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","047","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","6","3.913","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","071","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","099","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","154","3.990","95.5","1.9",".",".",".",".",".",".",".",".",".",".","1.3",".","1.3","."
"700
Intro Prosmr-Grad Students","001","","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"724
Intermed Political Sociol","001","","7","3.800","42.9","28.6",".",".",".",".",".","14.3",".",".",".",".","14.3",".",".","."
"752
Measurement&Questionnaires","001","","15","3.786","60.0","26.7","6.7",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"754
Qual Research Methods-Sociol","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"797
Introduction to Epidemiology","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"875","001","","36","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"875","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","37","4.000","2.7",".",".",".",".",".",".","97.3",".",".",".",".",".",".",".","."
"915
Seminar-Sociological Theory","001","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"923
Smr-Social Stratification","001","","10","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"929
Class Analysis&Hist Change","001","","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"940
Smr: Sociol-Econ Change","001","","12","3.864","75.0","8.3","8.3",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"948
Seminar: Environmental Sociol","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"952
Math&Stat Applications-Soc","002","","14","3.944","57.1","7.1",".",".",".",".",".","35.7",".",".",".",".",".",".",".","."
"961
Smr-Adv Social Psychology","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"971","001","","10","3.750","50.0","20.0","10.0",".",".",".",".","10.0",".",".",".",".","10.0",".",".","."
"971","002","","6","",".",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".","."
"Smr:Topics-Demography&Ecol","Course Total","","16","3.750","31.3","12.5","6.3",".",".",".",".","6.3",".",".",".",".","43.8",".",".","."
"982
Smr-Latin American Area","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"983
Rsch:Economic Sociology Wrkshp","001","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"984
Rsch:Sociol of Gender Trainees","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"985
Rsch:Soc-Envir, Tech, Agrofood","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"987
Rsch: Race & Ethnic Studies","001","","19","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 24, 2011","","","","","","","","","","","","","","","","","","","Page 304 of 402",""
