"STATISTICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","",""
"701
Applied Time Series Anal I","001","","28","3.893","89.3",".","10.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"709
Mathematical Statistics","001","","21","3.405","28.6","28.6","38.1","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"726
Nonlinear Optimization I","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775
Intro-Bayesian Decisn&Cntrl","001","","23","3.619","39.1","34.8","17.4",".",".",".",".",".",".",".",".",".",".","8.7",".","."
"831
Theory of Probability","001","","15","3.714","53.3","26.7","13.3",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"849
Thry&Appl-Regress&AnalVar I","001","","36","3.556","44.4","27.8","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"860
Estimatn of Function from Data","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","068","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","102","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","112","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","114","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","118","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","120","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","130","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","134","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","146","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","160","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","165","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","195","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","250","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","256","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","262","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","35","",".",".",".",".",".",".",".","54.3",".",".",".","45.7",".",".",".","."
"992","001","","25","4.000","96.0",".",".",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"992","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar","Course Total","","29","4.000","96.6",".",".",".",".",".",".","3.4",".",".",".",".",".",".",".","."
"998
Statistical Consulting","001","","14","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
