"CHICANA/O & LATINA/O STUDIE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"228
CHICLA","","","","","","","","","","","","","","","","","","","","",""
"Intro to Chicana/o&Latina/o St","201","001","","39","3.919","82.1","10.3","2.6",".",".",".",".","2.6",".",".",".",".","2.6",".",".","."
"Chicana and Chicano History","301","001","","32","3.155","21.9","15.6","34.4","12.5","3.1","3.1",".","3.1",".",".",".",".","6.3",".",".","."
"Topics in Chicano/a Studies","330","001","","19","3.618","63.2","15.8","5.3",".",".",".","5.3",".",".",".",".",".","10.5",".",".","."
"Latinas: Self Ident&Social Chg","332","001","","12","3.375","41.7","41.7","8.3",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"Latino/as and Media","419","001","","10","3.167","10.0","40.0","20.0","10.0","10.0",".",".",".",".",".",".",".","10.0",".",".","."
"The American West to1850","461","001","","7","3.214","14.3","28.6","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Understandng Latino Fam & Comm","657","001","","8","3.857","62.5","25.0",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","5","***","","","","","","","","","","","","","","","",""
